Name,ProductKey,Type,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.lifeCycle,vyzn.catalog.ch.eBKPh.Section,vyzn.catalogue.SourceENV,categoryPath
"Fundament, Bodenplatte ungedämmt (SIA2032.v2020)","Fundament, Bodenplatte ungedämmt (SIA2032.v2020)",COMPONENT,4.5,1.63,m2/Jahr,area,,C 1,SIA 2032 Anhang D v2020,"Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Fundament, Bodenplatte"
"Fundament, Bodenplatte gedämmt (SIA2032.v2020)","Fundament, Bodenplatte gedämmt (SIA2032.v2020)",COMPONENT,7.37,2.71,m2/Jahr,area,,C 1,SIA 2032 Anhang D v2020,"Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Fundament, Bodenplatte"
Aussenwand unter Terrain ungedämmt (SIA2032.v2020),Aussenwand unter Terrain ungedämmt (SIA2032.v2020),COMPONENT,4.62,1.51,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand unter Terrain
Aussenwand unter Terrain gedämmt (SIA2032.v2020),Aussenwand unter Terrain gedämmt (SIA2032.v2020),COMPONENT,8.27,2.74,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwand unter Terrain
Dach unter Terrain ungedämmt (SIA2032.v2020),Dach unter Terrain ungedämmt (SIA2032.v2020),COMPONENT,5.84,1.91,m2/Jahr,area,,C 4.4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dach unter Terrain
Dach unter Terrain gedämmt (SIA2032.v2020),Dach unter Terrain gedämmt (SIA2032.v2020),COMPONENT,11.34,3.62,m2/Jahr,area,,C 4.4,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Dach unter Terrain
Betonwand (mit Innenputz) (SIA2032.v2020),Betonwand (mit Innenputz) (SIA2032.v2020),COMPONENT,3.59,1.23,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Backsteinwand (mit Innenputz) (SIA2032.v2020),Backsteinwand (mit Innenputz) (SIA2032.v2020),COMPONENT,3.28,1.09,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Holzwand (mit innerer Gipsbekleidung) (SIA2032.v2020),Holzwand (mit innerer Gipsbekleidung) (SIA2032.v2020),COMPONENT,1.19,0.27,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Einsteinmauerwerk dämmend (mit Innenputz) (SIA2032.v2020),Einsteinmauerwerk dämmend (mit Innenputz) (SIA2032.v2020),COMPONENT,7.04,1.98,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
Stützenraster (zu Fassadensystem) (SIA2032.v2020),Stützenraster (zu Fassadensystem) (SIA2032.v2020),COMPONENT,0.55,0.14,m2/Jahr,area,,C 2.1,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Aussenwandkonstruktion über Terrain
"Äussere Beschichtung, Putz (SIA2032.v2020)","Äussere Beschichtung, Putz (SIA2032.v2020)",COMPONENT,0.58,0.2,m2/Jahr,area,,E 2,SIA 2032 Anhang D v2020,Alle > BAUTEILE > sia.ch > SIA 2032 Vorstudien- & Vorprojekt > v2020 > Äussere Wandbekleidung über Terrain
