Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.ch.KBOB2022.LCARefUnit
"C 1.2 - Abdichtung,Daemmung der Bodenplatte",C 1.2 - eBKP-H,,,,MATERIAL,
"C 1.3 - Einzel-,Streifenfundament",C 1.3 - eBKP-H,,,,MATERIAL,
C 1.4 - Bodenplatte nicht Tragend,C 1.4 - eBKP-H,,,,MATERIAL,
C 1.5 - Bodenplatte tragend,C 1.5 - eBKP-H,,,,MATERIAL,
C 2.1 - Aussenwandkonstruktion,C 2.1 - eBKP-H,,,,MATERIAL,
C 2.2 - Innenwandkonstruktion,C 2.2 - eBKP-H,,,,MATERIAL,
C 4.1 - Decke,C 4.1 - eBKP-H,,,,MATERIAL,
"C 4.2 - Treppe,Rampe",C 4.2 - eBKP-H,,,,MATERIAL,
C 4.3 - Balkon und Loggia,C 4.3 - eBKP-H,,,,MATERIAL,
C 4.4 - Dachkonstruktion,C 4.4 - eBKP-H,,,,MATERIAL,
E 1.1 - Wandabdichtung unter Terrain,E 1.1 - eBKP-H,,,,MATERIAL,
E 1.2 - Aussenwaermedaemmung unter Terrain,E 1.2 - eBKP-H,,,,MATERIAL,
E 1.3 - Schutzschicht unter Terrain,E 1.3 - eBKP-H,,,,MATERIAL,
E 2.1 - aeussere Beschichtung,E 2.1 - eBKP-H,,,,MATERIAL,
E 2.2 - Aussenwaermedaemmung,E 2.2 - eBKP-H,,,,MATERIAL,
E 2.3 - Fassadenbekleidung,E 2.3 - eBKP-H,,,,MATERIAL,
E 2.4 - Fassadensystem,E 2.4 - eBKP-H,,,,MATERIAL,
E 2.5 - Bekleidung Untersicht,E 2.5 - eBKP-H,,,,MATERIAL,
E 3.1 - Fenster,E 3.1 - eBKP-H,,,,MATERIAL,
"E 3.2 - Tuer, Tor",E 3.2 - eBKP-H,,,,MATERIAL,
E 3.3 - Sonnenschutz,E 3.3 - eBKP-H,,,,MATERIAL,
F 1.1 - Abdichtung unter Terrain,F 1.1 - eBKP-H,,,,MATERIAL,
F 1.2 - Flachdach,F 1.2 - eBKP-H,,,,MATERIAL,
F 1.3 - Geneigtes Dach,F 1.3 - eBKP-H,,,,MATERIAL,
F 1.4 - Blitzschutz,F 1.4 - eBKP-H,,,,MATERIAL,
F 2.1 - Einbaute zu Flachdach,F 2.1 - eBKP-H,,,,MATERIAL,
F 2.2 - Einbaute zu geneigtem Dach,F 2.2 - eBKP-H,,,,MATERIAL,
G 1.1 - Feststehende Trennwaende,G 1.1 - eBKP-H,,,,MATERIAL,
G 1.2 - Bewegliche Trennwaende,G 1.2 - eBKP-H,,,,MATERIAL,
G 1.3 - Innenfenster,G 1.3 - eBKP-H,,,,MATERIAL,
"G 1.4 - Innentuer, Innentor",G 1.4 - eBKP-H,,,,MATERIAL,
G 1.5 - Verdunkelung,G 1.5 - eBKP-H,,,,MATERIAL,
G 2.1 - Unterkonstruktion zu Bodenbelag,G 2.1 - eBKP-H,,,,MATERIAL,
G 2.2 - Fertiger Bodenbelag,G 2.2 - eBKP-H,,,,MATERIAL,
G 3.1 - Unterkonstruktion zu Wandbekleidung,G 3.1 - eBKP-H,,,,MATERIAL,
G 3.2 - Fertige Wandbekleidung,G 3.2 - eBKP-H,,,,MATERIAL,
G 4.1 - Unterkonstruktion zu Deckenbekleidung,G 4.1 - eBKP-H,,,,MATERIAL,
G 4.2 - Fertige Deckenbekleidung,G 4.2 - eBKP-H,,,,MATERIAL,
G 5.4 - Schutzeinrichtung,G 5.4 - eBKP-H,,,,MATERIAL,
G 5.6 - Kleinbauteile,G 5.6 - eBKP-H,,,,MATERIAL,
G 5.7 - Begruenung im Gebaeude,G 5.7 - eBKP-H,,,,MATERIAL,
G 6.3 - Reinigung,G 6.3 - eBKP-H,,,,MATERIAL,
