Name,ProductKey,Description,Picture,Product sections,Type,hatchingPattern,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,vyzn.catalogue.lifeCycle,categoryPath
Beton armiert 1.0% Stahl (ECOBAU.v202408),Beton armiert 1.0% Stahl (ECOBAU.v202408),,,,MATERIAL,concrete,,473196,391931,81681.15,62.3443,57.861,4.50764,668.515,546.186,120.77435,291.5995,262.6504,29.6479,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Beton armiert 1.5% Stahl (ECOBAU.v202408),Beton armiert 1.5% Stahl (ECOBAU.v202408),,,,MATERIAL,concrete,,533844,452196.5,82041.725,76.38145,71.8415,4.56496,801.5225,677.829,122.166525,321.24925,291.9706,29.98185,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Beton armiert 2.0% Stahl (ECOBAU.v202408),Beton armiert 2.0% Stahl (ECOBAU.v202408),,,,MATERIAL,concrete,,594492,512462,82402.3,90.4186,85.822,4.62228,934.53,809.472,123.5587,350.899,321.2908,30.3158,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Beton armiert 3.0% Stahl (ECOBAU.v202408),Beton armiert 3.0% Stahl (ECOBAU.v202408),,,,MATERIAL,concrete,,715788,632993,83123.45,118.4929,113.783,4.73692,1200.545,1072.758,126.34305,410.1985,379.9312,30.9837,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Modulbackstein (ECOBAU.v202408),Mauerwerk Modulbackstein (ECOBAU.v202408),,,,MATERIAL,brick,,389130,348280,40375,89.786,87.643,2.0813,851.67,800.34,49.942,272.3,260.76,12.065,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Leichtbackstein (ECOBAU.v202408),Mauerwerk Leichtbackstein (ECOBAU.v202408),,,,MATERIAL,brick,,249144,221968,26860,56.2256,54.7888,1.38944,538.992,505.104,33.232,175.952,168.312,8.0264,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Sichtbackstein (ECOBAU.v202408),Mauerwerk Sichtbackstein (ECOBAU.v202408),,,,MATERIAL,brick,,570752,510552,59500,131.3424,128.1812,3.06852,1247.428,1171.856,73.6008,399.84,382.844,17.78,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Kalksandstein (ECOBAU.v202408),Mauerwerk Kalksandstein (ECOBAU.v202408),,,,MATERIAL,sand-lime-brick,,413700,354760,59500,73.64,70.588,3.0758,704.34,630.42,73.612,260.96,242.76,17.78,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Porenbestonstein (ECOBAU.v202408),Mauerwerk Porenbestonstein (ECOBAU.v202408),,,,MATERIAL,cast-stone,,289498.5,268302.5,21441.25,36.49775,35.38925,1.114035,438.56,411.7725,26.5353,214.777,208.2185,6.40715,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
Mauerwerk Zementstein (ECOBAU.v202408),Mauerwerk Zementstein (ECOBAU.v202408),,,,MATERIAL,cement-stone,,416040,345760,70975,64.739,61.093,3.6725,558.45,470.49,87.814,249.62,229.44,21.209,m3,,,,Ecobau 2024-08 / KBOB 2022v5,,Alle > MATERIALIEN > ecobau.ch > v2024.08
