Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"0.001 - Baugrubensicherung, Bohrpfahlwand, gespriesst",0.001 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,1390000,1230000,169000,134,125,9,2230,1980,249,911,850,61,m2,0,0.001
"0.002 - Baugrubensicherung, Bohrpfahlwand, unverankert",0.002 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,1320000,1160000,169000,120,110,9,2040,1800,249,872,810,61,m2,0,0.002
"0.003 - Baugrubensicherung, Bohrpfahlwand, verankert",0.003 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,1000000,889000,111000,111,105,6,1570,1410,164,620,579,40,m2,0,0.003
"0.004 - Baugrubensicherung, Nagelwand",0.004 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,222000,198000,24500,24,23,1,336,300,36,140,131,9,m2,0,0.004
"0.005 - Baugrubensicherung, Rühlwand, auskragend",0.005 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,447000,407000,39300,108,106,2,886,828,58,276,262,14,m2,0,0.005
"0.006 - Baugrubensicherung, Rühlwand, gespriesst",0.006 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,317000,294000,23000,47,46,1,651,617,34,193,185,8,m2,0,0.006
"0.007 - Baugrubensicherung, Rühlwand, verankert",0.007 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,340000,313000,26600,47,45,1,665,626,39,208,199,10,m2,0,0.007
"0.008 - Baugrubensicherung, Schlitzwand, 400 mm",0.008 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,913000,828000,84800,96,92,5,1320,1190,125,497,467,31,m2,0,0.008
"0.009 - Baugrubensicherung, Schlitzwand, 800 mm",0.009 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,1650000,1480000,167000,182,173,9,2400,2150,246,957,897,60,m2,0,0.009
"0.01 - Baugrubensicherung, Spundwand, auskragend",0.01 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,289000,287000,1710,44,44,0,733,729,4,170,169,1,m2,0,0.01
