Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"91.001 Entsorgung, Asphalt, 0.1% Wasser, in Reaktordeponie (KBOB.2016)","91.001 Entsorgung, Asphalt, 0.1% Wasser, in Reaktordeponie (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,121,,121,0.00,,0.00,0.09,,0.09,0.02,,0.02,kg,mass,,91.001,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.002 Entsorgung, Bodenbelag, 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2016)","91.002 Entsorgung, Bodenbelag, 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3430,,3430,0.02,,0.02,1.58,,1.58,6.09,,6.09,m2,area,,91.002,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.003 Entsorgung, Bodenbelag, 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2016)","91.003 Entsorgung, Bodenbelag, 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2980,,2980,0.02,,0.02,1.54,,1.54,5.19,,5.19,m2,area,,91.003,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.004 Entsorgung, Bodenbelag, Gummigranulat versiegelt, 7.5 mm (KBOB.2016)","91.004 Entsorgung, Bodenbelag, Gummigranulat versiegelt, 7.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,6780,,6780,0.04,,0.04,2.15,,2.15,12.60,,12.60,m2,area,,91.004,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.005 Entsorgung, Bodenbelag, Hartbeton einschichtig, 27.5 mm (KBOB.2016)","91.005 Entsorgung, Bodenbelag, Hartbeton einschichtig, 27.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,214,,214,0.00,,0.00,0.51,,0.51,0.09,,0.09,m2,area,,91.005,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.006 Entsorgung, Bodenbelag, Hartbeton zweischichtig, 35 mm (KBOB.2016)","91.006 Entsorgung, Bodenbelag, Hartbeton zweischichtig, 35 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,270,,270,0.01,,0.01,0.64,,0.64,0.11,,0.11,m2,area,,91.006,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.007 Entsorgung, Bodenbelag, Kautschuk, 2mm (KBOB.2016)","91.007 Entsorgung, Bodenbelag, Kautschuk, 2mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2600,,2600,0.02,,0.02,0.54,,0.54,4.78,,4.78,m2,area,,91.007,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.008 Entsorgung, Bodenbelag, Kork Fertigparkett, 10.5 mm (KBOB.2016)","91.008 Entsorgung, Bodenbelag, Kork Fertigparkett, 10.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,1210,,1210,0.01,,0.01,0.63,,0.63,1.66,,1.66,m2,area,,91.008,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.009 Entsorgung, Bodenbelag, Kork PVC-beschichtet, 3.2 mm (KBOB.2016)","91.009 Entsorgung, Bodenbelag, Kork PVC-beschichtet, 3.2 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,1550,,1550,0.01,,0.01,0.36,,0.36,2.82,,2.82,m2,area,,91.009,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.010 Entsorgung, Bodenbelag, Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2016)","91.010 Entsorgung, Bodenbelag, Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,401,,401,0.00,,0.00,0.19,,0.19,0.59,,0.59,m2,area,,91.010,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.011 Entsorgung, Bodenbelag, Laminat, 8.5 mm (KBOB.2016)","91.011 Entsorgung, Bodenbelag, Laminat, 8.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,248,,248,0.00,,0.00,0.29,,0.29,0.09,,0.09,m2,area,,91.011,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.012 Entsorgung, Bodenbelag, Linoleum, 2.5 mm (KBOB.2016)","91.012 Entsorgung, Bodenbelag, Linoleum, 2.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,378,,378,0.00,,0.00,0.27,,0.27,0.46,,0.46,m2,area,,91.012,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.013 Entsorgung, Bodenbelag, Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2016)","91.013 Entsorgung, Bodenbelag, Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,159,,159,0.00,,0.00,0.18,,0.18,0.06,,0.06,m2,area,,91.013,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.014 Entsorgung, Bodenbelag, Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2016)","91.014 Entsorgung, Bodenbelag, Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,216,,216,0.00,,0.00,0.25,,0.25,0.08,,0.08,m2,area,,91.014,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.015 Entsorgung, Bodenbelag, Parkett Mosaik werkversiegelt, 8 mm (KBOB.2016)","91.015 Entsorgung, Bodenbelag, Parkett Mosaik werkversiegelt, 8 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,134,,134,0.00,,0.00,0.16,,0.16,0.05,,0.05,m2,area,,91.015,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.016 Entsorgung, Bodenbelag, PVC homogen, 2 mm (KBOB.2016)","91.016 Entsorgung, Bodenbelag, PVC homogen, 2 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3050,,3050,0.18,,0.18,2.32,,2.32,5.24,,5.24,m2,area,,91.016,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.017 Entsorgung, Bodenbelag, Steinholz versiegelt, 16.5 mm (KBOB.2016)","91.017 Entsorgung, Bodenbelag, Steinholz versiegelt, 16.5 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,330,,330,0.01,,0.01,1.26,,1.26,0.16,,0.16,m2,area,,91.017,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.018 Entsorgung, Bodenbelag, Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2016)","91.018 Entsorgung, Bodenbelag, Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2790,,2790,0.02,,0.02,0.68,,0.68,5.10,,5.10,m2,area,,91.018,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.019 Entsorgung, Bodenbelag, Teppich Kunstfaser getuftet (KBOB.2016)","91.019 Entsorgung, Bodenbelag, Teppich Kunstfaser getuftet (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2270,,2270,0.01,,0.01,0.40,,0.40,4.41,,4.41,m2,area,,91.019,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"91.020 Entsorgung, Bodenbelag, Teppich Nadelfilz (KBOB.2016)","91.020 Entsorgung, Bodenbelag, Teppich Nadelfilz (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,1880,,1880,0.01,,0.01,0.27,,0.27,3.68,,3.68,m2,area,,91.020,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
