Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,vyzn.catalogue.lifeCycle,categoryPath
41.001 Heizöl EL (KBOB.2016),41.001 Heizöl EL (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,234.00,,,0.01,,,1.23,,,0.30,,,kWh,finalEnergy,,41.001,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.002 Erdgas (KBOB.2016),41.002 Erdgas (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,137.00,,,0.00,,,1.06,,,0.23,,,kWh,finalEnergy,,41.002,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.003 Propan/Butan (KBOB.2016),41.003 Propan/Butan (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,200.00,,,0.01,,,1.15,,,0.27,,,kWh,finalEnergy,,41.003,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.004 Kohle Koks (KBOB.2016),41.004 Kohle Koks (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,477.00,,,0.01,,,1.45,,,0.44,,,kWh,finalEnergy,,41.004,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.005 Kohle Brikett (KBOB.2016),41.005 Kohle Brikett (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,456.00,,,0.01,,,1.20,,,0.40,,,kWh,finalEnergy,,41.005,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.006 Stückholz (KBOB.2016),41.006 Stückholz (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,93.10,,,0.99,,,0.12,,,0.03,,,kWh,finalEnergy,,41.006,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.010 Stückholz mit Partikelfilter (KBOB.2016),41.010 Stückholz mit Partikelfilter (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,88.20,,,0.99,,,0.12,,,0.03,,,kWh,finalEnergy,,41.010,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.007 Holzschnitzel (KBOB.2016),41.007 Holzschnitzel (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,80.80,,,1.05,,,0.06,,,0.01,,,kWh,finalEnergy,,41.007,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.011 Holzschnitzel mit Partikelfilter (KBOB.2016),41.011 Holzschnitzel mit Partikelfilter (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,73.70,,,1.05,,,0.07,,,0.01,,,kWh,finalEnergy,,41.011,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.008 Pellets (KBOB.2016),41.008 Pellets (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,81.10,,,1.04,,,0.16,,,0.03,,,kWh,finalEnergy,,41.008,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.012 Pellets mit Partikelfilter (KBOB.2016),41.012 Pellets mit Partikelfilter (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,76.80,,,1.04,,,0.16,,,0.03,,,kWh,finalEnergy,,41.012,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
41.009 Biogas (KBOB.2016),41.009 Biogas (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,109.00,,,0.03,,,0.30,,,0.13,,,kWh,finalEnergy,,41.009,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.001 Heizzentrale Oel (KBOB.2016),42.001 Heizzentrale Oel (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,341.00,,,0.02,,,1.68,,,0.41,,,kWh,finalEnergy,,42.001,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.002 Heizzentrale Gas (KBOB.2016),42.002 Heizzentrale Gas (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,194.00,,,0.01,,,1.51,,,0.31,,,kWh,finalEnergy,,42.002,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.003 Heizzentrale Holz (KBOB.2016),42.003 Heizzentrale Holz (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,120.00,,,1.58,,,0.14,,,0.05,,,kWh,finalEnergy,,42.003,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.004 Heizkraftwerk Holz (KBOB.2016),42.004 Heizkraftwerk Holz (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,102.00,,,1.33,,,0.13,,,0.04,,,kWh,finalEnergy,,42.004,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.005 Heizzentrale EWP Luft/Wasser (JAZ 2.8) (KBOB.2016),42.005 Heizzentrale EWP Luft/Wasser (JAZ 2.8) (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,186.00,,,0.99,,,1.14,,,0.08,,,kWh,finalEnergy,,42.005,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.006 Heizzentrale EWP Abwasser (JAZ 3.4) (KBOB.2016),42.006 Heizzentrale EWP Abwasser (JAZ 3.4) (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,124.00,,,0.17,,,0.89,,,0.04,,,kWh,finalEnergy,,42.006,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.007 Heizzentrale EWP Grundwasser (JAZ 3.4) (KBOB.2016),42.007 Heizzentrale EWP Grundwasser (JAZ 3.4) (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,155.00,,,1.03,,,0.96,,,0.06,,,kWh,finalEnergy,,42.007,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.008 Heizzentrale EWP Erdsonde (JAZ 3.9) (KBOB.2016),42.008 Heizzentrale EWP Erdsonde (JAZ 3.9) (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,139.00,,,1.05,,,0.85,,,0.06,,,kWh,finalEnergy,,42.008,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.009 Heizzentrale Geothermie (KBOB.2016),42.009 Heizzentrale Geothermie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,67.30,,,1.36,,,0.16,,,0.02,,,kWh,finalEnergy,,42.009,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.010 Heizkraftwerk Geothermie (KBOB.2016),42.010 Heizkraftwerk Geothermie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,47.60,,,0.47,,,0.13,,,0.01,,,kWh,finalEnergy,,42.010,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.011 Kehrichtverbrennung (KBOB.2016),42.011 Kehrichtverbrennung (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,7.31,,,0.01,,,0.05,,,0.00,,,kWh,finalEnergy,,42.011,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.012 Blockheizkraftwerk Diesel (KBOB.2016),42.012 Blockheizkraftwerk Diesel (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,120.00,,,0.01,,,0.62,,,0.15,,,kWh,finalEnergy,,42.012,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.013 Blockheizkraftwerk Gas (KBOB.2016),42.013 Blockheizkraftwerk Gas (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,84.00,,,0.01,,,0.60,,,0.13,,,kWh,finalEnergy,,42.013,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
42.014 Blockheizkraftwerk Biogas (KBOB.2016),42.014 Blockheizkraftwerk Biogas (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_DISTRICT_HEAT,,72.90,,,0.03,,,0.21,,,0.08,,,kWh,finalEnergy,,42.014,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
