Name,ProductKey,Description,Picture,Product sections,Type,SubType,hatchingPattern,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2016)","00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,1010000.000000,877000.000000,130000.000000,110.000000,101.000000,9.570000,2280.000000,2020.000000,258.000000,828.000000,778.000000,50.200000,m2,area,,00.001,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2016)","00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,952000.000000,822000.000000,130000.000000,94.300000,84.800000,9.570000,2090.000000,1830.000000,258.000000,788.000000,738.000000,50.200000,m2,area,,00.002,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2016)","00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,778000.000000,692000.000000,86200.000000,82.800000,76.400000,6.320000,1510.000000,1340.000000,170.000000,512.000000,478.000000,33.100000,m2,area,,00.003,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.004 Baugrubensicherung, Nagelwand (KBOB.2016)","00.004 Baugrubensicherung, Nagelwand (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,171000.000000,152000.000000,18900.000000,17.900000,16.600000,1.390000,324.000000,286.000000,37.500000,116.000000,109.000000,7.280000,m2,area,,00.004,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2016)","00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,332000.000000,302000.000000,30100.000000,108.000000,106.000000,2.200000,934.000000,874.000000,59.500000,266.000000,254.000000,11.600000,m2,area,,00.005,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2016)","00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,240000.000000,222000.000000,17800.000000,46.700000,45.400000,1.310000,677.000000,642.000000,35.200000,184.000000,177.000000,6.840000,m2,area,,00.006,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2016)","00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,259000.000000,238000.000000,20600.000000,43.900000,42.400000,1.510000,681.000000,640.000000,40.700000,192.000000,184.000000,7.900000,m2,area,,00.007,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2016)","00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,648000.000000,583000.000000,65500.000000,73.300000,68.600000,4.760000,1250.000000,1120.000000,130.000000,407.000000,382.000000,25.200000,m2,area,,00.008,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2016)","00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,1230000.000000,1100000.000000,129000.000000,136.000000,126.000000,9.430000,2270.000000,2010.000000,256.000000,777.000000,728.000000,49.600000,m2,area,,00.009,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
"00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2016)","00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2016)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,,,228000.000000,228000.000000,0.000000,46.200000,46.200000,0.000000,747.000000,747.000000,0.000000,163.000000,163.000000,0.000000,m2,area,,00.010,KBOB 2016,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,60
