Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.minergie.eco.MepClassification,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2 (KBOB.2016)","31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2 (KBOB.2016)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,1200.000000,1190.000000,10.600000,0.236000,0.236000,0.000317,2.280000,2.260000,0.018100,0.512000,0.501000,0.010900,m2,energyReferenceArea,0,31.001,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
"31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2 (KBOB.2016)","31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2 (KBOB.2016)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,3590.000000,3560.000000,31.800000,0.708000,0.707000,0.000952,6.830000,6.780000,0.054400,1.530000,1.500000,0.032700,m2,energyReferenceArea,0,31.002,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
"31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2 (KBOB.2016)","31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2 (KBOB.2016)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,5990.000000,5930.000000,53.000000,1.180000,1.180000,0.001590,11.400000,11.300000,0.090600,2.560000,2.500000,0.054500,m2,energyReferenceArea,0,31.003,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
31.021 Wärmeverteilung Wohngebäude (KBOB.2016),31.021 Wärmeverteilung Wohngebäude (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,5480.000000,4670.000000,807.000000,1.510000,1.140000,0.370000,14.300000,12.000000,2.330000,3.070000,2.390000,0.674000,m2,energyReferenceArea,0,31.021,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.022 Wärmeverteilung Bürogebäude (KBOB.2016),31.022 Wärmeverteilung Bürogebäude (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,15000.000000,13900.000000,1090.000000,2.680000,2.250000,0.433000,32.700000,29.900000,2.790000,7.620000,6.560000,1.060000,m2,energyReferenceArea,0,31.022,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.023 Wärmeabgabe über Heizkörper (KBOB.2016),31.023 Wärmeabgabe über Heizkörper (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,10200.000000,10200.000000,17.900000,1.630000,1.620000,0.001850,22.800000,22.700000,0.035200,5.460000,5.440000,0.022700,m2,energyReferenceArea,0,31.023,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.024 Wärmeabgabe über Fussbodenheizung (KBOB.2016),31.024 Wärmeabgabe über Fussbodenheizung (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,4040.000000,3040.000000,997.000000,1.480000,1.480000,0.001650,22.300000,22.200000,0.091700,5.060000,3.020000,2.040000,m2,energyReferenceArea,0,31.024,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke) (KBOB.2016),31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke) (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,39400.000000,39400.000000,70.400000,4.470000,4.470000,0.001590,26.400000,26.300000,0.030600,5.770000,5.640000,0.134000,m2,energyReferenceArea,0,31.025,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
"31.015 Wärmeverteilung und Abgabe, Luftheizung (KBOB.2016)","31.015 Wärmeverteilung und Abgabe, Luftheizung (KBOB.2016)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,2940.000000,2910.000000,33.600000,0.325000,0.325000,0.000083,7.960000,7.950000,0.006480,1.700000,1.630000,0.067200,m2,energyReferenceArea,0,31.015,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
"31.016 Erdsonden, für Sole-Wasser-Wärmepumpe (KBOB.2016)","31.016 Erdsonden, für Sole-Wasser-Wärmepumpe (KBOB.2016)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,geothermalProbe,,34600.000000,30500.000000,4100.000000,2.870000,2.610000,0.255000,130.000000,129.000000,1.480000,28.100000,25.300000,2.730000,m,probeLength,0,31.016,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,40
31.017 Sole-Wasser Wärmepumpe 8 kW (KBOB.2016),31.017 Sole-Wasser Wärmepumpe 8 kW (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,4220000.000000,3860000.000000,367000.000000,506.000000,503.000000,3.820000,5520.000000,5480.000000,45.200000,2180.000000,1470.000000,706.000000,Stk.,device,0,31.017,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
31.018 Sole-Wasser Wärmepumpe 8 kW (KBOB.2016),31.018 Sole-Wasser Wärmepumpe 8 kW (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,22500.000000,20600.000000,1960.000000,2.700000,2.680000,0.020400,29.500000,29.200000,0.241000,11.600000,7.860000,3.770000,kg,mass,0,31.018,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
31.019 Luft-Wasser Wärmepumpe 8 kW (KBOB.2016),31.019 Luft-Wasser Wärmepumpe 8 kW (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,5460000.000000,4910000.000000,546000.000000,641.000000,636.000000,5.010000,6460.000000,6400.000000,60.200000,2910.000000,1860.000000,1050.000000,Stk.,device,0,31.019,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
31.020 Luft-Wasser Wärmepumpe 8 kW (KBOB.2016),31.020 Luft-Wasser Wärmepumpe 8 kW (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,22400.000000,20200.000000,2240.000000,2.630000,2.610000,0.020600,26.500000,26.200000,0.248000,12.000000,7.620000,4.330000,kg,mass,0,31.020,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,20
31.007 Flachkollektor für Warmwasser EFH (KBOB.2016),31.007 Flachkollektor für Warmwasser EFH (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,676000.000000,676000.000000,,142.000000,142.000000,,1140.000000,1140.000000,,256.000000,256.000000,,m2,collectorArea,0,31.007,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.008 Flachkollektor für Raumheizung und Warmwasser EFH (KBOB.2016),31.008 Flachkollektor für Raumheizung und Warmwasser EFH (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,452000.000000,452000.000000,,102.000000,102.000000,,824.000000,824.000000,,184.000000,184.000000,,m2,collectorArea,0,31.008,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
31.009 Flachkollektor für Warmwasser MFH (KBOB.2016),31.009 Flachkollektor für Warmwasser MFH (KBOB.2016),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,394000.000000,394000.000000,,79.000000,79.000000,,695.000000,695.000000,,155.000000,155.000000,,m2,collectorArea,0,31.009,KBOB 2016,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016,30
