Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,vyzn.catalogue.lifeCycle,categoryPath
61.003 Endenergie (KBOB.2016),61.003 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,309.000000,,,0.004240,,,1.270000,,,0.320000,,,kWh,finalEnergy,,61.003,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.009 Endenergie (KBOB.2016),61.009 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,886.000000,,,0.004300,,,1.270000,,,0.384000,,,kWh,finalEnergy,,61.009,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.005 Endenergie (KBOB.2016),61.005 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,161.000000,,,0.036800,,,0.310000,,,0.115000,,,kWh,finalEnergy,,61.005,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.001 Endenergie (KBOB.2016),61.001 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,357.000000,,,0.003420,,,1.240000,,,0.310000,,,kWh,finalEnergy,,61.001,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.002 Endenergie (KBOB.2016),61.002 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,400.000000,,,0.003250,,,1.220000,,,0.307000,,,kWh,finalEnergy,,61.002,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.004 Endenergie (KBOB.2016),61.004 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,292.000000,,,0.003140,,,1.210000,,,0.304000,,,kWh,finalEnergy,,61.004,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.006 Endenergie (KBOB.2016),61.006 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,200.000000,,,0.009190,,,1.120000,,,0.230000,,,kWh,finalEnergy,,61.006,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.007 Endenergie (KBOB.2016),61.007 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,322.000000,,,0.003060,,,1.200000,,,0.300000,,,kWh,finalEnergy,,61.007,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
61.008 Endenergie (KBOB.2016),61.008 Endenergie (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,438.000000,,,0.488000,,,2.520000,,,0.102000,,,kWh,finalEnergy,,61.008,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
62.001 Aushubvolumen (KBOB.2016),62.001 Aushubvolumen (KBOB.2016),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FREIGHT,,489.000000,,,0.012600,,,1.670000,,,0.412000,,,m3,excavationVolume,,62.001,KBOB 2016,60,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016
