Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
01.001 Magerbeton (ohne Bewehrung) (KBOB.2016v1),01.001 Magerbeton (ohne Bewehrung) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2150.000,kg,65.100,40.200,24.900,0.009,0.007,0.002,0.139,0.092,0.047,0.059,0.050,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2016v1),01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2300.000,kg,94.300,67.300,27.000,0.013,0.012,0.002,0.201,0.148,0.054,0.099,0.089,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
01.003 Tiefbaubeton (ohne Bewehrung) (KBOB.2016v1),01.003 Tiefbaubeton (ohne Bewehrung) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2350.000,kg,100.000,72.900,27.000,0.014,0.013,0.002,0.217,0.164,0.053,0.107,0.096,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
01.004 Bohrpfahlbeton (ohne Bewehrung) (KBOB.2016v1),01.004 Bohrpfahlbeton (ohne Bewehrung) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2325.000,kg,106.000,79.000,26.900,0.016,0.014,0.002,0.228,0.175,0.053,0.117,0.107,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"01.041 Betonfertigteil, hochfester Beton, ab Werk (KBOB.2016v1)","01.041 Betonfertigteil, hochfester Beton, ab Werk (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2770.000,kg,477.000,454.000,23.800,0.057,0.056,0.002,0.768,0.721,0.047,0.265,0.255,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"01.042 Betonfertigteil, Normalbeton, ab Werk (KBOB.2016v1)","01.042 Betonfertigteil, Normalbeton, ab Werk (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2500.000,kg,245.000,218.000,26.100,0.096,0.094,0.002,0.484,0.432,0.052,0.172,0.162,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
01.043 Hanfbeton (KBOB.2016v1),01.043 Hanfbeton (KBOB.2016v1),KBOB 2016 v1,MATERIAL,600.000,kg,371.000,370.000,0.700,0.882,0.882,0.000,0.984,0.982,0.003,0.288,0.288,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"01.043.01 Hanfbeton, ARBIO (KBOB.2016v1)","01.043.01 Hanfbeton, ARBIO (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,600.000,kg,357.000,356.000,1.000,0.800,0.800,0.000,0.900,0.900,0.003,0.280,0.277,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
02.001 Backstein (KBOB.2016v1),02.001 Backstein (KBOB.2016v1),KBOB 2016 v1,MATERIAL,900.000,kg,217.000,191.000,25.800,0.080,0.080,0.002,0.790,0.740,0.051,0.258,0.249,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
02.002 Kalksandstein (KBOB.2016v1),02.002 Kalksandstein (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1400.000,kg,157.000,132.000,25.100,0.040,0.040,0.002,0.400,0.350,0.048,0.138,0.129,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"02.002.01 Kalksandstein, FBB (KBOB.2016v1)","02.002.01 Kalksandstein, FBB (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1400.000,kg,122.000,97.000,25.000,0.000,0.000,0.002,0.300,0.300,0.048,0.110,0.100,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
02.003 Leichtlehmstein (KBOB.2016v1),02.003 Leichtlehmstein (KBOB.2016v1),KBOB 2016 v1,MATERIAL,700.000,kg,237.000,212.000,25.800,0.790,0.790,0.002,0.760,0.710,0.051,0.170,0.161,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"02.004 Leichtzementstein, Blähton (KBOB.2016v1)","02.004 Leichtzementstein, Blähton (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,471.000,445.000,26.600,0.050,0.050,0.002,1.510,1.460,0.053,0.417,0.407,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"02.005 Leichtzementstein, Naturbims (KBOB.2016v1)","02.005 Leichtzementstein, Naturbims (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1200.000,kg,222.000,195.000,26.600,0.030,0.030,0.002,0.420,0.370,0.053,0.223,0.214,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
02.006 Porenbetonstein (KBOB.2016v1),02.006 Porenbetonstein (KBOB.2016v1),KBOB 2016 v1,MATERIAL,500.000,kg,348.000,323.000,25.800,0.070,0.060,0.002,0.930,0.880,0.051,0.417,0.408,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
02.007 Zementstein (KBOB.2016v1),02.007 Zementstein (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1700.000,kg,133.000,108.000,25.100,0.020,0.022,0.002,0.254,0.207,0.047,0.129,0.121,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.001 Betonziegel (KBOB.2016v1),03.001 Betonziegel (KBOB.2016v1),KBOB 2016 v1,MATERIAL,2300.000,kg,212.000,187.000,25.800,0.030,0.030,0.002,0.520,0.470,0.051,0.217,0.208,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.002 Faserzement-Dachschindel (KBOB.2016v1),03.002 Faserzement-Dachschindel (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1800.000,kg,751.000,724.000,26.600,0.500,0.500,0.002,2.450,2.400,0.053,0.727,0.717,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.003 Faserzementplatte gross (KBOB.2016v1),03.003 Faserzementplatte gross (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1800.000,kg,1030.000,1000.000,26.600,0.600,0.600,0.002,3.300,3.200,0.053,1.090,1.080,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
03.004 Faserzement-Wellplatte (KBOB.2016v1),03.004 Faserzement-Wellplatte (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1800.000,kg,726.000,700.000,26.600,0.540,0.540,0.002,2.060,2.010,0.053,0.678,0.669,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
