Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2",KBOB2022-31.001,,,,MATERIAL_LIST,,1810.0,1770.0,36.5,0.295,0.295,0.000293,3.17,3.16,0.00693,0.858,0.849,0.00961,m2,,EE35298F-D4F1-4FBF-8F21-914AC601204F,KBOB 2022 V4
"31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2",KBOB2022-31.002,,,,MATERIAL_LIST,,5420.0,5310.0,110.0,0.886,0.885,0.00088,9.5,9.48,0.0208,2.57,2.55,0.0288,m2,,E6266550-4DA7-4AC1-9967-35D378CCA917,KBOB 2022 V4
"31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2",KBOB2022-31.003,,,,MATERIAL_LIST,,9030.0,8850.0,183.0,1.48,1.48,0.00147,15.8,15.8,0.0346,4.29,4.24,0.048,m2,,B49F5C35-D26E-4EBD-9736-51937285D583,KBOB 2022 V4
31.027 Elektrospeicherofen 5kW,KBOB2022-31.027,,,,MATERIAL_LIST,,7070.0,6720.0,348.0,0.967,0.949,0.018,10.6,10.5,0.19,2.87,2.58,0.296,kg,,F0E2CA61-381A-42B0-9331-F3A3B092171A,KBOB 2022 V4
31.021 Wärmeverteilung Wohngebäude,KBOB2022-31.021,,,,MATERIAL_LIST,,7030.0,5630.0,1400.0,1.54,1.17,0.366,13.2,11.1,2.14,3.46,2.77,0.695,m2,,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,KBOB 2022 V4
31.022 Wärmeverteilung Bürogebäude,KBOB2022-31.022,,,,MATERIAL_LIST,,18100.0,16100.0,2020.0,2.77,2.34,0.43,29.9,27.3,2.57,9.14,8.06,1.08,m2,,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,KBOB 2022 V4
31.023 Wärmeabgabe über Heizkörper,KBOB2022-31.023,,,,MATERIAL_LIST,,12800.0,12100.0,700.0,1.66,1.66,0.00266,21.1,21.0,0.0271,6.5,6.48,0.022,m2,,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,KBOB 2022 V4
31.024 Wärmeabgabe über Fussbodenheizung,KBOB2022-31.024,,,,MATERIAL_LIST,,7380.0,5300.0,2090.0,1.44,1.44,0.0021,21.8,21.8,0.086,5.05,3.02,2.04,m2,,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,KBOB 2022 V4
31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke),KBOB2022-31.025,,,,MATERIAL_LIST,,24300.0,24200.0,141.0,4.39,4.39,0.00227,25.0,24.9,0.0263,5.78,5.65,0.134,m2,,650E9E9A-4709-4780-BA84-460617AE70A0,KBOB 2022 V4
"31.015 Wärmeverteilung und Abgabe, Luftheizung",KBOB2022-31.015,,,,MATERIAL_LIST,,3870.0,3260.0,613.0,0.421,0.421,0.000103,7.11,7.11,0.00358,1.83,1.76,0.0668,m2,,53A125FB-F71E-4A1A-9191-DE111E0DF8C0,KBOB 2022 V4
"31.016 Erdsonden, für Sole-Wasser-Wärmepumpe",KBOB2022-31.016,,,,MATERIAL_LIST,,46100.0,40900.0,5220.0,2.28,2.0,0.278,102.0,101.0,1.29,23.2,20.7,2.55,m,,9AA11301-7957-4139-BC09-9F57072238EC,KBOB 2022 V4
31.026 Förder- und Schluckbrunnen für Grundwasser Wärmepumpe,KBOB2022-31.026,,,,MATERIAL_LIST,,947000.0,840000.0,107000.0,47.7,43.6,4.08,1780.0,1740.0,44.8,661.0,566.0,95.7,Stk.,,B4015EF4-695C-47BF-9CD8-A8AF5CE3C0CB,KBOB 2022 V4
31.017 Sole-Wasser Wärmepumpe 7 kW,KBOB2022-31.017,,,,MATERIAL_LIST,,4690000.0,4200000.0,486000.0,488.0,485.0,3.04,4460.0,4430.0,34.9,2400.0,1930.0,473.0,Stk.,,D6B4CD48-CFD0-45DD-8F39-F2877B8DE652,KBOB 2022 V4
31.018 Sole-Wasser Wärmepumpe 7 kW,KBOB2022-31.018,,,,MATERIAL_LIST,,29700.0,26600.0,3080.0,3.09,3.07,0.0193,28.2,28.0,0.221,15.2,12.2,2.99,kg,,EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,KBOB 2022 V4
31.019 Luft-Wasser Wärmepumpe 7 kW,KBOB2022-31.019,,,,MATERIAL_LIST,,7440000.0,6590000.0,845000.0,1010.0,1000.0,4.96,7130.0,7070.0,57.2,4000.0,3180.0,824.0,Stk.,,DEED59B5-BB81-4104-9BAE-D78266DC439E,KBOB 2022 V4
31.020 Luft-Wasser Wärmepumpe 7 kW,KBOB2022-31.020,,,,MATERIAL_LIST,,29100.0,25800.0,3300.0,3.94,3.92,0.0194,27.8,27.6,0.224,15.6,12.4,3.22,kg,,13247483-F3F9-449C-87D0-6B956AB03E50,KBOB 2022 V4
31.007 Flachkollektor für Warmwasser EFH,KBOB2022-31.007,,,,MATERIAL_LIST,,687000.0,687000.0,,146.0,146.0,,1070.0,1070.0,,289.0,289.0,,m2,,26ED1BEC-5B9B-4820-8481-A544231F80EE,KBOB 2022 V4
31.008 Flachkollektor für Raumheizung und Warmwasser EFH,KBOB2022-31.008,,,,MATERIAL_LIST,,482000.0,482000.0,,105.0,105.0,,782.0,782.0,,204.0,204.0,,m2,,4EACB020-C81C-482A-8817-F3DE92E1F6D6,KBOB 2022 V4
31.009 Flachkollektor für Warmwasser MFH,KBOB2022-31.009,,,,MATERIAL_LIST,,411000.0,411000.0,,81.4,81.4,,667.0,667.0,,168.0,168.0,,m2,,4FE800F8-909C-4102-9E3F-525A7AD89DCE,KBOB 2022 V4
31.010 Röhrenkollektor für Raumheizung und Warmwasser EFH,KBOB2022-31.010,,,,MATERIAL_LIST,,492000.0,492000.0,,102.0,102.0,,884.0,884.0,,230.0,230.0,,m2,,85D42D88-963C-488B-B94E-C9FD0985CF27,KBOB 2022 V4
31.028 Hybridkollektor Schrägdach mit Erdsondenregeneration,KBOB2022-31.028,,,,MATERIAL_LIST,,715000.0,715000.0,,152.0,152.0,,1300.0,1300.0,,343.0,343.0,,m2,,3058E4BA-F5B1-42AF-8905-745801085D2B,KBOB 2022 V4
31.029 Hybridkollektor Schrägdach mit Warmwasserspeicher,KBOB2022-31.029,,,,MATERIAL_LIST,,769000.0,769000.0,,167.0,167.0,,1380.0,1380.0,,369.0,369.0,,m2,,50066F27-9A16-4226-9BD9-6C53C61B330B,KBOB 2022 V4
"32.011 Lüftungsanlage, spez. Luftmenge 1 m3/hm2 EBF",KBOB2022-32.011,,,,MATERIAL_LIST,,34200.0,33600.0,591.0,4.43,4.42,0.00953,50.5,50.3,0.144,15.0,14.6,0.338,m2,,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V4
"32.005 Lüftungsanlage, spez. Luftmenge 2 m3/hm2 EBF",KBOB2022-32.005,,,,MATERIAL_LIST,,46100.0,45200.0,828.0,5.95,5.94,0.013,68.2,68.0,0.198,20.2,19.7,0.475,m2,,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V4
"32.006 Lüftungsanlage, spez. Luftmenge 4 m3/hm2 EBF",KBOB2022-32.006,,,,MATERIAL_LIST,,69800.0,68500.0,1300.0,9.0,8.98,0.0198,104.0,103.0,0.306,30.6,29.8,0.748,m2,,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,KBOB 2022 V4
"32.007 Lüftungsanlage, spez. Luftmenge 6 m3/hm2 EBF",KBOB2022-32.007,,,,MATERIAL_LIST,,93600.0,91900.0,1770.0,12.0,12.0,0.0267,139.0,139.0,0.414,41.0,39.9,1.02,m2,,4EBAA5FE-7F18-443E-A05A-08185A6165D0,KBOB 2022 V4
