Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
Magerbeton (ohne Bewehrung) (KBOB01.001),KBOB2022-01.001-M,,,,MATERIAL,2150,104,68.8,35.4,0.0101,0.00821,0.00188,0.128,0.0767,0.0516,0.0628,0.0502,0.0126,kg,0,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V4
Hochbaubeton (ohne Bewehrung) (KBOB01.002),KBOB2022-01.002-M,,,,MATERIAL,2300,153,118,35.2,0.0146,0.0128,0.00187,0.175,0.123,0.0513,0.101,0.0887,0.0126,kg,0,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V4
Tiefbaubeton (ohne Bewehrung) (KBOB01.003),KBOB2022-01.003-M,,,,MATERIAL,2350,163,128,35.1,0.0157,0.0138,0.00186,0.189,0.138,0.0513,0.109,0.0963,0.0125,kg,0,6704A56E-25F3-4DD0-8890-EC2E2A0D4B9C,KBOB 2022 V4
Bohrpfahlbeton (ohne Bewehrung) (KBOB01.004),KBOB2022-01.004-M,,,,MATERIAL,2325,174,139,35.1,0.0168,0.0149,0.00186,0.197,0.146,0.0512,0.119,0.106,0.0125,kg,0,4EBAA5FE-7F18-443E-A05A-08185A6165D0,KBOB 2022 V4
"Betonfertigteil, hochfester Beton, ab Werk (KBOB01.041)",KBOB2022-01.041-M,,,,MATERIAL,2770,440,409,31,0.074,0.0723,0.00165,0.697,0.652,0.0453,0.276,0.265,0.0111,kg,0,3A51918F-AB60-4CE7-A771-A10C3266684A,KBOB 2022 V4
"Betonfertigteil, Normalbeton, ab Werk (KBOB01.042)",KBOB2022-01.042-M,,,,MATERIAL,2500,282,248,33.9,0.0938,0.092,0.0018,0.432,0.383,0.0495,0.177,0.165,0.0121,kg,0,F6DCDEFA-AFE6-44CB-8B68-3527ABFDC011,KBOB 2022 V4
Hanfbeton (KBOB01.043),KBOB2022-01.043-M,,,,MATERIAL,600,665,663,1.69,0.899,0.899,0.000016,0.959,0.959,0.000296,0.324,0.324,0.000073,kg,0,DD16B81F-E498-48D6-9754-A1E95558BFFE,KBOB 2022 V4
"Hanfbeton, ARBIO (KBOB01.043.01)",KBOB2022-01.043.01-M,,,,MATERIAL,600,639,638,1.69,0.865,0.865,0.000016,0.922,0.922,0.000296,0.312,0.312,0.000073,kg,0.06,b05c4b9b-b749-4f50-a92b-98713a494220,KBOB 2022 V4
Backstein (KBOB02.001),KBOB2022-02.001-M,,,,MATERIAL,900,371,328,42.5,0.0799,0.0777,0.00216,0.787,0.734,0.0526,0.266,0.254,0.0127,kg,0,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,KBOB 2022 V4
"Backstein, perlitgefüllt, zzwancor (KBOB02.001.01)",KBOB2022-02.001.01-M,,,,MATERIAL,575,420,378,42.5,0.105,0.103,0.00216,0.914,0.861,0.0526,0.283,0.27,0.0127,kg,0,555E9A89-95DF-4C98-BC55-879B4C7E4BFE,KBOB 2022 V4
Kalksandstein (KBOB02.002),KBOB2022-02.002-M,,,,MATERIAL,1400,258,215,42.5,0.0386,0.0364,0.00216,0.389,0.337,0.0526,0.162,0.149,0.0127,kg,0,17BF48A3-72AD-4EBB-A2DE-3256129F7031,KBOB 2022 V4
"Kalksandstein, FBB (KBOB02.002.01)",KBOB2022-02.002.01-M,,,,MATERIAL,1600,196,153,42.5,0.0347,0.0325,0.00216,0.315,0.263,0.0526,0.115,0.102,0.0127,kg,0,564C9F25-EE8A-4799-A049-6D26DF586F05,KBOB 2022 V4
"Kalksandstein, Hunziker Kalksandstein AG (KBOB02.002.02)",KBOB2022-02.002.02-M,,,,MATERIAL,1600,190,148,42.5,0.0166,0.0145,0.00216,0.287,0.235,0.0526,0.106,0.0938,0.0127,kg,0,adbada8c-108b-4869-a098-bc2cda5c5929,KBOB 2022 V4
Leichtlehmstein (KBOB02.003),KBOB2022-02.003-M,,,,MATERIAL,700,353,311,42.5,0.792,0.79,0.00216,0.764,0.711,0.0526,0.18,0.167,0.0127,kg,0,45766F6B-BC17-4725-B939-23AA76838736,KBOB 2022 V4
"Leichtzementstein, Blähton (KBOB02.004)",KBOB2022-02.004-M,,,,MATERIAL,1200,609,566,42.5,0.0553,0.0531,0.00216,1.42,1.37,0.0526,0.428,0.415,0.0127,kg,0,2DEEC4B0-D3FE-4124-A08A-0DD398A65220,KBOB 2022 V4
"Leichtzementstein, Naturbims (KBOB02.005)",KBOB2022-02.005-M,,,,MATERIAL,1200,322,280,42.5,0.036,0.0338,0.00216,0.363,0.31,0.0526,0.212,0.2,0.0127,kg,0,27B5089E-6003-4920-991A-0BCC005B9434,KBOB 2022 V4
Porenbetonstein (KBOB02.006),KBOB2022-02.006-M,,,,MATERIAL,500,573,531,42.5,0.0694,0.0673,0.00216,0.859,0.807,0.0526,0.426,0.413,0.0127,kg,0,406B9ED4-C9C0-41E2-B945-7844C7313250,KBOB 2022 V4
Zementstein (KBOB02.007),KBOB2022-02.007-M,,,,MATERIAL,1700,214,172,42.5,0.0259,0.0237,0.00216,0.225,0.173,0.0526,0.126,0.114,0.0127,kg,0,69524911-E277-4B29-827D-B8475E4D8C23,KBOB 2022 V4
"Erdstein, aus gepresster Erde, Terrabloc (KBOB02.007.01)",KBOB2022-02.007.01-M,,,,MATERIAL,1850,136,84,51.6,0.01,0.01,0,0.142,0.129,0.013,0.057,0.054,0.003,kg,0,288A84C2-129A-431D-B135-7F7A3F9D0CBD,KBOB 2022 V4
"Hanfsteine, Schönthaler AG (KBOB02.007.02)",KBOB2022-02.007.02-M,,,,MATERIAL,300,824,751,72.1,1.81,1.8,0.00431,1.91,1.77,0.145,0.372,0.338,0.0334,kg,0.15,276ac558-09e7-4a6d-b6d8-5643d08bcf9b,KBOB 2022 V4
Betongranulat (KBOB03.021),KBOB2022-03.021-M,,,,MATERIAL,2500,43.3,3.16,40.2,0.00366,0.00144,0.00221,0.0616,0.00905,0.0526,0.014,0.00132,0.0126,kg,0,fc996053-6ce2-4be3-a99f-42fb01b5d1ce,KBOB 2022 V4
Betonziegel (KBOB03.001),KBOB2022-03.001-M,,,,MATERIAL,2300,326,284,42.5,0.0373,0.0352,0.00216,0.468,0.416,0.0526,0.209,0.196,0.0127,kg,0,D00BA00E-D63B-4109-ADC0-4D9A3367734D,KBOB 2022 V4
Faserzement-Dachschindel (KBOB03.002),KBOB2022-03.002-M,,,,MATERIAL,1800,1100,1030,67.8,0.49,0.489,0.00158,2.16,2.11,0.0528,0.699,0.686,0.0132,kg,0,8873B601-8644-4FF4-B2CF-042546B8500D,KBOB 2022 V4
Faserzementplatte gross (KBOB03.003),KBOB2022-03.003-M,,,,MATERIAL,1800,1510,1450,67.8,0.614,0.612,0.00158,2.92,2.87,0.0528,1.03,1.02,0.0132,kg,0,EC993875-136D-4857-B06E-BB581EA9DA43,KBOB 2022 V4
Faserzement-Wellplatte (KBOB03.004),KBOB2022-03.004-M,,,,MATERIAL,1800,1060,991,67.8,0.552,0.55,0.00158,1.78,1.72,0.0528,0.649,0.636,0.0132,kg,0,08C9C771-82D9-4925-8E06-39A4367A8370,KBOB 2022 V4
Flachglas beschichtet (KBOB03.005),KBOB2022-03.005-M,,,,MATERIAL,2500,1990,1920,68.8,0.255,0.243,0.0118,4.64,4.53,0.109,1.2,1.18,0.0191,kg,0,9304338C-8D4A-4EE3-B1A2-43977ADA18A4,KBOB 2022 V4
Flachglas unbeschichtet (KBOB03.006),KBOB2022-03.006-M,,,,MATERIAL,2500,1790,1720,68.8,0.138,0.126,0.0118,4.08,3.97,0.109,1.14,1.12,0.0191,kg,0,8A03A7D4-FB51-48D0-BA86-9D13EE70A0D9,KBOB 2022 V4
Gipsfaserplatte (KBOB03.007),KBOB2022-03.007-M,,,,MATERIAL,1200,873,801,71.4,0.0978,0.0937,0.0041,2.47,2.39,0.0781,0.552,0.533,0.0186,kg,0,45BEA46B-47E9-425F-926C-AEB31CB4A09D,KBOB 2022 V4
Gipskartonplatte (KBOB03.008),KBOB2022-03.008-M,,,,MATERIAL,850,523,452,71.7,0.0888,0.0847,0.00409,1.33,1.25,0.0778,0.301,0.283,0.0187,kg,0,38A83C73-92BD-492B-B435-97332A84863E,KBOB 2022 V4
Gips-Wandbauplatte / Vollgipsplatte (KBOB03.016),KBOB2022-03.016-M,,,,MATERIAL,1000,531,459,71.3,0.0322,0.0281,0.00411,1.45,1.37,0.0783,0.317,0.298,0.0185,kg,0,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,KBOB 2022 V4
Glasfaserbeton (KBOB03.023),KBOB2022-03.023-M,,,,MATERIAL,0,,,,,,,,,,,,,,,a3868d35-8eaf-47d0-be53-2f7e988a1cce,KBOB 2022 V4
Glasfaserbeton Ecomur (KBOB03.023.01),KBOB2022-03.023.01-M,,,,MATERIAL,2240,1335.9,1300,35.9,0.51092,0.509,0.00192,2.2022,2.15,0.0522,0.8858,0.873,0.0128,kg,0,3c956888-cdbf-42fa-8759-172ed1f7822d,KBOB 2022 V4
Hartsandsteinplatte (KBOB03.009),KBOB2022-03.009-M,,,,MATERIAL,2500,112,69.2,42.5,0.045,0.0428,0.00216,0.275,0.223,0.0526,0.0406,0.0279,0.0127,kg,0,B787C33A-9D88-414E-84DE-3E087E3639ED,KBOB 2022 V4
Kalksteinplatte (KBOB03.017),KBOB2022-03.017-M,,,,MATERIAL,2500,141,98.3,42.5,0.0261,0.0239,0.00216,0.338,0.286,0.0526,0.0736,0.061,0.0127,kg,0,8FE3FD69-2400-4DC4-933B-E91CDE601165,KBOB 2022 V4
Keramik-/Steinzeugplatte (KBOB03.010),KBOB2022-03.010-M,,,,MATERIAL,2600,4100,4060,42.5,0.207,0.205,0.00216,3.72,3.67,0.0526,0.793,0.78,0.0127,kg,0,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,KBOB 2022 V4
