Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,vyzn.catalogue.lifeCycle,categoryPath
41.001 Heizöl EL (KBOB.2022v5),41.001 Heizöl EL (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,408.000000,,,0.013900,,,1.250000,,,0.324000,,,kWh,finalEnergy,,48b15cda-179e-4f9a-81c3-7cd01653e920,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.002 Erdgas (KBOB.2022v5),41.002 Erdgas (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,274.000000,,,0.002920,,,1.050000,,,0.230000,,,kWh,finalEnergy,,76a19c53-8e44-4806-8bd2-f0d87507a1db,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.003 Propan/Butan (KBOB.2022v5),41.003 Propan/Butan (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,367.000000,,,0.005790,,,1.210000,,,0.292000,,,kWh,finalEnergy,,f12d6f0a-8ea3-450f-b9af-2e8f53758baa,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.004 Kohle Koks (KBOB.2022v5),41.004 Kohle Koks (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,596.000000,,,0.014600,,,1.430000,,,0.434000,,,kWh,finalEnergy,,217f6f88-ba46-4c56-850c-80a57dc9daad,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.005 Kohle Brikett (KBOB.2022v5),41.005 Kohle Brikett (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,726.000000,,,0.009460,,,1.180000,,,0.398000,,,kWh,finalEnergy,,0fd32da9-b0cb-424f-ae15-de65666785c4,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.006 Stückholz (KBOB.2022v5),41.006 Stückholz (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,175.000000,,,1.010000,,,0.043900,,,0.023000,,,kWh,finalEnergy,,714c90ac-5805-462a-bcaa-d08d11977e3f,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.010 Stückholz mit Partikelfilter (KBOB.2022v5),41.010 Stückholz mit Partikelfilter (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,175.000000,,,1.010000,,,0.043900,,,0.023000,,,kWh,finalEnergy,,2db29ccb-52fe-4e84-a135-734d8b38c078,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.007 Holzschnitzel (KBOB.2022v5),41.007 Holzschnitzel (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,115.000000,,,1.030000,,,0.030700,,,0.010700,,,kWh,finalEnergy,,37e0ceac-f8ff-44f1-a1df-6ac995426b5e,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.011 Holzschnitzel mit Partikelfilter (KBOB.2022v5),41.011 Holzschnitzel mit Partikelfilter (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,115.000000,,,1.030000,,,0.030700,,,0.010700,,,kWh,finalEnergy,,6e44744b-89c3-4e51-bbce-ad8fdfcc77b6,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
41.008 Pellets (KBOB.2022v5),41.008 Pellets (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_ENERGY_FUEL,,110.000000,,,1.050000,,,0.128000,,,0.027700,,,kWh,finalEnergy,,e7b59798-478f-43ff-a576-379dbf6da60d,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
