Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"91.001 Entsorgung, Asphalt, 0.1% Wasser, in Reaktordeponie (KBOB.2022v5)","91.001 Entsorgung, Asphalt, 0.1% Wasser, in Reaktordeponie (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,143,,,0.00,,,0.09,,,0.019,,,kg,,,a01298ea-acfc-4d72-8261-6c17cbccb6ea,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.002 Entsorgung, 2K-Fliessbelag Industrie (KBOB.2022v5)","91.002 Entsorgung, 2K-Fliessbelag Industrie (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,8240,,,0.08,,,2.26,,,7.240,,,m2,,,78c7e93f-5a39-4b5f-a287-e938195ebb75,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.003 Entsorgung, 2K-Fliessbelag Wohnen (KBOB.2022v5)","91.003 Entsorgung, 2K-Fliessbelag Wohnen (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,4540,,,0.06,,,1.45,,,3.870,,,m2,,,35fcc2a3-fb7f-44c7-bd03-424bdec5407b,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.004 Entsorgung, Bodenbelag organisch, Gummigranulat (KBOB.2022v5)","91.004 Entsorgung, Bodenbelag organisch, Gummigranulat (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,13400,,,0.14,,,2.73,,,11.900,,,m2,,,b8426ce9-72ae-4850-ac9d-e42844b46691,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.005 Entsorgung, Bodenbelag, Hartbeton einschichtig (KBOB.2022v5)","91.005 Entsorgung, Bodenbelag, Hartbeton einschichtig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2460,,,0.13,,,3.04,,,0.733,,,m2,,,95d798f0-613a-4b29-9d69-909f679d0096,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.006 Entsorgung, Bodenbelag, Hartbeton zweischichtig (KBOB.2022v5)","91.006 Entsorgung, Bodenbelag, Hartbeton zweischichtig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3120,,,0.16,,,3.87,,,0.932,,,m2,,,5cf9857d-8408-419d-bc0c-d2a45e4880d0,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.007 Entsorgung, Bodenbelag, Kautschuk (KBOB.2022v5)","91.007 Entsorgung, Bodenbelag, Kautschuk (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3750,,,0.07,,,0.93,,,3.190,,,m2,,,a98f8237-e0d8-44a9-b65e-f03a8701edbf,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.008 Entsorgung, Korkparkett (KBOB.2022v5)","91.008 Entsorgung, Korkparkett (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2130,,,0.10,,,1.36,,,1.300,,,m2,,,003fa5ac-bd39-4612-af63-7898f9c0cd8a,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.009 Entsorgung, Bodenbelag, Kork PVC-beschichtet (KBOB.2022v5)","91.009 Entsorgung, Bodenbelag, Kork PVC-beschichtet (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,4060,,,0.10,,,1.43,,,3.520,,,m2,,,4e962b23-a38b-4d02-a4b5-2fa8e9340a31,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.010 Entsorgung, Korkparkett (KBOB.2022v5)","91.010 Entsorgung, Korkparkett (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2130,,,0.10,,,1.36,,,1.300,,,m2,,,003fa5ac-bd39-4612-af63-7898f9c0cd8a,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
