Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
"00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2022v5)","00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2022v5)",,,,OTHER_RESOURCE,,1300000.000000,1140000.000000,167000.000000,132.000000,123.000000,9.210000,2120.000000,1870.000000,248.000000,861.000000,801.000000,60.500000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2022v5)","00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2022v5)",,,,OTHER_RESOURCE,,1230000.000000,1070000.000000,167000.000000,117.000000,108.000000,9.210000,1940.000000,1690.000000,248.000000,822.000000,761.000000,60.500000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2022v5)","00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2022v5)",,,,OTHER_RESOURCE,,846000.000000,736000.000000,111000.000000,105.000000,99.300000,6.080000,1390.000000,1230.000000,164.000000,535.000000,495.000000,40.000000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.004 Baugrubensicherung, Nagelwand (KBOB.2022v5)","00.004 Baugrubensicherung, Nagelwand (KBOB.2022v5)",,,,OTHER_RESOURCE,,188000.000000,164000.000000,24300.000000,23.000000,21.700000,1.340000,297.000000,261.000000,35.900000,121.000000,112.000000,8.780000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2022v5)","00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2022v5)",,,,OTHER_RESOURCE,,436000.000000,397000.000000,39000.000000,109.000000,107.000000,2.170000,875.000000,817.000000,57.600000,270.000000,256.000000,14.200000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2022v5)","00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2022v5)",,,,OTHER_RESOURCE,,305000.000000,282000.000000,22800.000000,48.100000,46.800000,1.260000,637.000000,603.000000,33.800000,187.000000,178.000000,8.260000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2022v5)","00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2022v5)",,,,OTHER_RESOURCE,,319000.000000,293000.000000,26400.000000,46.700000,45.300000,1.450000,641.000000,602.000000,39.000000,197.000000,187.000000,9.540000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2022v5)","00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2022v5)",,,,OTHER_RESOURCE,,777000.000000,693000.000000,84200.000000,91.200000,86.500000,4.630000,1160.000000,1040.000000,124.000000,423.000000,393.000000,30.300000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2022v5)","00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2022v5)",,,,OTHER_RESOURCE,,1380000.000000,1220000.000000,166000.000000,172.000000,163.000000,9.130000,2080.000000,1840.000000,245.000000,809.000000,749.000000,59.900000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2022v5)","00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2022v5)",,,,OTHER_RESOURCE,,287000.000000,286000.000000,1690.000000,45.700000,45.600000,0.089000,732.000000,728.000000,4.160000,169.000000,168.000000,1.060000,m2,0.000000,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
