Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.lifeCycle,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,vyzn.catalogue.ch.KBOB2022.LCARefDimension,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
"00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2022v5)","00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"1,300,000.000000","1,140,000.000000","167,000.000000",132.000000,123.000000,9.210000,"2,120.000000","1,870.000000",248.000000,861.000000,801.000000,60.500000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2022v5)","00.002 Baugrubensicherung, Bohrpfahlwand, unverankert (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"1,230,000.000000","1,070,000.000000","167,000.000000",117.000000,108.000000,9.210000,"1,940.000000","1,690.000000",248.000000,822.000000,761.000000,60.500000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2022v5)","00.003 Baugrubensicherung, Bohrpfahlwand, verankert (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"846,000.000000","736,000.000000","111,000.000000",105.000000,99.300000,6.080000,"1,390.000000","1,230.000000",164.000000,535.000000,495.000000,40.000000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.004 Baugrubensicherung, Nagelwand (KBOB.2022v5)","00.004 Baugrubensicherung, Nagelwand (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"188,000.000000","164,000.000000","24,300.000000",23.000000,21.700000,1.340000,297.000000,261.000000,35.900000,121.000000,112.000000,8.780000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2022v5)","00.005 Baugrubensicherung, Rühlwand, auskragend (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"436,000.000000","397,000.000000","39,000.000000",109.000000,107.000000,2.170000,875.000000,817.000000,57.600000,270.000000,256.000000,14.200000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2022v5)","00.006 Baugrubensicherung, Rühlwand, gespriesst (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"305,000.000000","282,000.000000","22,800.000000",48.100000,46.800000,1.260000,637.000000,603.000000,33.800000,187.000000,178.000000,8.260000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2022v5)","00.007 Baugrubensicherung, Rühlwand, verankert (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"319,000.000000","293,000.000000","26,400.000000",46.700000,45.300000,1.450000,641.000000,602.000000,39.000000,197.000000,187.000000,9.540000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2022v5)","00.008 Baugrubensicherung, Schlitzwand, 400 mm (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"777,000.000000","693,000.000000","84,200.000000",91.200000,86.500000,4.630000,"1,160.000000","1,040.000000",124.000000,423.000000,393.000000,30.300000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2022v5)","00.009 Baugrubensicherung, Schlitzwand, 800 mm (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"1,380,000.000000","1,220,000.000000","166,000.000000",172.000000,163.000000,9.130000,"2,080.000000","1,840.000000",245.000000,809.000000,749.000000,59.900000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2022v5)","00.010 Baugrubensicherung, Spundwand, auskragend (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_CONSTRUCTION_MATERIAL_PREPARATION_WORK,"287,000.000000","286,000.000000","1,690.000000",45.700000,45.600000,0.089000,732.000000,728.000000,4.160000,169.000000,168.000000,1.060000,m2,1,0.000000,area,,KBOB 2022 V5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
