Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
01.001 Magerbeton (ohne Bewehrung) (KBOB.2022v5_r),01.001 Magerbeton (ohne Bewehrung) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,2150,104,68.8,35.4,0.0103,0.00838,0.00192,0.128,0.0767,0.0516,0.0628,0.0502,0.0126,kg,0,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2022v5_r),01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,2300,153,118,35.2,0.0149,0.013,0.00191,0.175,0.123,0.0513,0.101,0.0887,0.0126,kg,0,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.01 Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.01 Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2269,174,139,35.4,0.581,0.579,0.002,0.218,0.167,0.052,0.105,0.092,0.013,kg,0.025,b192ea20-d93b-4bef-8614-f093119153f2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.02 Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.02 Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2293,181,145,35.4,0.609,0.607,0.002,0.225,0.174,0.052,0.11,0.097,0.013,kg,0.027,4df05637-c63d-4717-b192-b8f0c012f9f8,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.03 Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.03 Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2333,187,151,35.4,0.64,0.638,0.002,0.232,0.181,0.052,0.114,0.101,0.013,kg,0.028,2e9dbf82-4f7c-4a8a-8d4f-db7b19af32dc,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.04 Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.04 Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2353,192,157,35.4,0.668,0.666,0.002,0.242,0.19,0.052,0.119,0.107,0.013,kg,0.029,0413443a-cd20-4c31-802a-be812508223d,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.05 Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.05 Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2350,145,109,35.4,0.016,0.014,0.002,0.194,0.142,0.052,0.0967,0.0837,0.013,kg,0.00117,c1989bc1-f9af-493f-b151-024126e43aec,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.06 Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.06 Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2350,153,117,35.4,0.0161,0.0141,0.002,0.201,0.149,0.052,0.102,0.0888,0.013,kg,0.00117,1d86392d-5541-4bc2-80b1-b16ed591d9b9,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.07 Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)","01.002.07 Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2311.4,142,107,35.4,0.0148,0.0129,0.00189,0.163,0.111,0.0516,0.0906,0.0779,0.0127,kg,0.000331,93b87002-5582-4fe7-be54-78d9b37aa188,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.08 Hochbaubeton, NovoCon Light RC-C25/E30, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)","01.002.08 Hochbaubeton, NovoCon Light RC-C25/E30, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2311.96,142,107,35.4,0.0147,0.0128,0.00189,0.164,0.113,0.0516,0.0907,0.078,0.0127,kg,0.000425,61e656cb-703b-4a7e-b37a-5a66caf11509,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
