Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
01.001 Magerbeton (ohne Bewehrung) (KBOB.2022v5_r),01.001 Magerbeton (ohne Bewehrung) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,2150,104.000000,68.800000,35.400000,0.010300,0.008380,0.001920,0.128000,0.076700,0.051600,0.062800,0.050200,0.012600,kg,0.000000,A05F4D90-D030-49B6-A08A-BAD5228E3552,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2022v5_r),01.002 Hochbaubeton (ohne Bewehrung) (KBOB.2022v5_r),,,,REFERENCE_MATERIAL,2300,153.000000,118.000000,35.200000,0.014900,0.013000,0.001910,0.175000,0.123000,0.051300,0.101000,0.088700,0.012600,kg,0.000000,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.01 Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.01 Beton Klark Sorte A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2269,174.000000,139.000000,35.400000,0.581000,0.579000,0.002000,0.218000,0.167000,0.052000,0.105000,0.092000,0.013000,kg,0.025000,b192ea20-d93b-4bef-8614-f093119153f2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.02 Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.02 Beton Klark Sorte A, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2293,181.000000,145.000000,35.400000,0.609000,0.607000,0.002000,0.225000,0.174000,0.052000,0.110000,0.097000,0.013000,kg,0.027000,4df05637-c63d-4717-b192-b8f0c012f9f8,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.03 Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.03 Beton Klark Sorte B, 320kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2333,187.000000,151.000000,35.400000,0.640000,0.638000,0.002000,0.232000,0.181000,0.052000,0.114000,0.101000,0.013000,kg,0.028000,2e9dbf82-4f7c-4a8a-8d4f-db7b19af32dc,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.04 Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.04 Beton Klark Sorte C, 340kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2353,192.000000,157.000000,35.400000,0.668000,0.666000,0.002000,0.242000,0.190000,0.052000,0.119000,0.107000,0.013000,kg,0.029000,0413443a-cd20-4c31-802a-be812508223d,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.05 Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.05 Hochbaubeton, zirkulit® NPK A, 280kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2350,145.000000,109.000000,35.400000,0.016000,0.014000,0.002000,0.194000,0.142000,0.052000,0.096700,0.083700,0.013000,kg,0.001170,c1989bc1-f9af-493f-b151-024126e43aec,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.06 Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)","01.002.06 Hochbaubeton, zirkulit® NPK C, 300kg CEM II/B (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2350,153.000000,117.000000,35.400000,0.016100,0.014100,0.002000,0.201000,0.149000,0.052000,0.102000,0.088800,0.013000,kg,0.001170,1d86392d-5541-4bc2-80b1-b16ed591d9b9,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.07 Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)","01.002.07 Hochbaubeton, Möckli Primärbeton, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2311,142.000000,107.000000,35.400000,0.014800,0.012900,0.001890,0.163000,0.111000,0.051600,0.090600,0.077900,0.012700,kg,0.000331,93b87002-5582-4fe7-be54-78d9b37aa188,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"01.002.08 Hochbaubeton, NovoCon Light RC-C25/E30, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)","01.002.08 Hochbaubeton, NovoCon Light RC-C25/E30, NPK A, 280 kg CEM II/B-LL (ohne Bewehrung) (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2312,142.000000,107.000000,35.400000,0.014700,0.012800,0.001890,0.164000,0.113000,0.051600,0.090700,0.078000,0.012700,kg,0.000425,61e656cb-703b-4a7e-b37a-5a66caf11509,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
