Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,vyzn.catalogue.lifeCycle,categoryPath
61.003 Benzin in Personenwagen (KBOB.2022v5),61.003 Benzin in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,477.000000,,,0.024000,,,1.250000,,,0.338000,,,kWh,finalEnergy,,2f501d97-9e8d-4251-ba28-42e1c8aee43e,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.009 Benzin in Scooter (KBOB.2022v5),61.009 Benzin in Scooter (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,813.000000,,,0.024500,,,1.260000,,,0.396000,,,kWh,finalEnergy,,a24fe3ee-3bcc-49df-b744-ab49b725c085,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.005 Biogas in Personenwagen (KBOB.2022v5),61.005 Biogas in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,188.000000,,,0.036800,,,0.320000,,,0.114000,,,kWh,finalEnergy,,7aa3b385-146c-4c8e-862f-40c65a9d819f,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.001 Diesel in Baumaschine (KBOB.2022v5),61.001 Diesel in Baumaschine (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,513.000000,,,0.006810,,,1.230000,,,0.324000,,,kWh,finalEnergy,,75668959-4010-4847-84d0-c812c912fde5,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.002 Diesel in Lastwagen (KBOB.2022v5),61.002 Diesel in Lastwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,565.000000,,,0.051100,,,1.190000,,,0.320000,,,kWh,finalEnergy,,1a62ced9-c2c1-4842-9c00-da135c6369f8,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.004 Diesel in Personenwagen (KBOB.2022v5),61.004 Diesel in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,487.000000,,,0.005320,,,1.200000,,,0.328000,,,kWh,finalEnergy,,846f23d4-0ae0-44fe-82a4-34ddb2f390ce,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.006 Erdgas in Personenwagen (KBOB.2022v5),61.006 Erdgas in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,326.000000,,,0.011300,,,1.120000,,,0.236000,,,kWh,finalEnergy,,906187f7-fe0a-4635-ad9a-93844a480be0,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.007 Kerosin in Flugzeug (KBOB.2022v5),61.007 Kerosin in Flugzeug (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,775.000000,,,0.005420,,,1.220000,,,0.664000,,,kWh,finalEnergy,,bbac2696-f10c-4fcd-a473-345f95fef0e4,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.008 Strom CH-Verbrauchermix in Personenwagen (KBOB.2022v5),61.008 Strom CH-Verbrauchermix in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,630.000000,,,0.569000,,,2.080000,,,0.158000,,,kWh,finalEnergy,,c0a35414-64d8-4f98-9496-6f6048563dbf,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
61.010 Mix Stromprodukte aus erneuerbaren Energien in Personenwagen (KBOB.2022v5),61.010 Mix Stromprodukte aus erneuerbaren Energien in Personenwagen (KBOB.2022v5),,,,OTHER_RESOURCE,OTHER_RESOURCE_TRANSPORT_FUEL,,197.000000,,,1.160000,,,0.033000,,,0.048100,,,kWh,finalEnergy,,0648099d-a023-44a0-bf23-9a7c41cb7493,KBOB 2022 V5,1,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
