Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"00.001 - Baugrubensicherung, Bohrpfahlwand, gespriesst",KBOB2016-00.001,,,,MATERIAL_LIST,,1010000,877000,130000,110,101,10,2280,2020,258,828,778,50,m2,,0.001
"00.002 - Baugrubensicherung, Bohrpfahlwand, unverankert",KBOB2016-00.002,,,,MATERIAL_LIST,,952000,822000,130000,94,85,10,2090,1830,258,788,738,50,m2,,0.002
"00.003 - Baugrubensicherung, Bohrpfahlwand, verankert",KBOB2016-00.003,,,,MATERIAL_LIST,,778000,692000,86200,83,76,6,1510,1340,170,512,478,33,m2,,0.003
"00.004 - Baugrubensicherung, Nagelwand",KBOB2016-00.004,,,,MATERIAL_LIST,,171000,152000,18900,18,17,1,324,286,38,116,109,7,m2,,0.004
"00.005 - Baugrubensicherung, Rühlwand, auskragend",KBOB2016-00.005,,,,MATERIAL_LIST,,332000,302000,30100,108,106,2,934,874,60,266,254,12,m2,,0.005
"00.006 - Baugrubensicherung, Rühlwand, gespriesst",KBOB2016-00.006,,,,MATERIAL_LIST,,240000,222000,17800,47,45,1,677,642,35,184,177,7,m2,,0.006
"00.007 - Baugrubensicherung, Rühlwand, verankert",KBOB2016-00.007,,,,MATERIAL_LIST,,259000,238000,20600,44,42,2,681,640,41,192,184,8,m2,,0.007
"00.008 - Baugrubensicherung, Schlitzwand, 400 mm",KBOB2016-00.008,,,,MATERIAL_LIST,,648000,583000,65500,73,69,5,1250,1120,130,407,382,25,m2,,0.008
"00.009 - Baugrubensicherung, Schlitzwand, 800 mm",KBOB2016-00.009,,,,MATERIAL_LIST,,1230000,1100000,129000,136,126,9,2270,2010,256,777,728,50,m2,,0.009
"00.010 - Baugrubensicherung, Spundwand, auskragend",KBOB2016-00.010,,,,MATERIAL_LIST,,228000,228000,0,46,46,0,747,747,0,163,163,0,m2,,0.01
"00.011 - Baugrubensicherung, Spundwand, gespriesst",KBOB2016-00.011,,,,MATERIAL_LIST,,129000,129000,0,25,25,0,421,421,0,92,92,0,m2,,0.011
"00.012 - Baugrubensicherung, Spundwand, verankert",KBOB2016-00.012,,,,MATERIAL_LIST,,255000,255000,0,55,55,0,813,813,0,181,181,0,m2,,0.012
"00.013 - Tiefgründung, Mikrobohrpfahl",KBOB2016-00.013,,,,MATERIAL_LIST,,48600,48600,0,8,8,0,116,116,0,31,31,0,m,,0.013
"00.014 - Tiefgründung, Ortbetonbohrpfahl, 700 mm",KBOB2016-00.014,,,,MATERIAL_LIST,,229000,229000,0,22,22,0,404,404,0,159,159,0,m,,0.014
"00.015 - Tiefgründung, Ortbetonbohrpfahl, 900 mm",KBOB2016-00.015,,,,MATERIAL_LIST,,331000,331000,0,35,35,0,566,566,0,239,239,0,m,,0.015
"00.016 - Tiefgründung, Ortbetonbohrpfahl, 1200 mm",KBOB2016-00.016,,,,MATERIAL_LIST,,506000,506000,0,56,56,0,851,851,0,372,372,0,m,,0.016
"00.017 - Tiefgründung, Ortbetonverdrängungspfahl 560/480 mm",KBOB2016-00.017,,,,MATERIAL_LIST,,122000,122000,0,10,10,0,226,226,0,72,72,0,m,,0.017
"00.018 - Tiefgründung, Ortbetonverdrängungspfahl 660/580 mm",KBOB2016-00.018,,,,MATERIAL_LIST,,152000,152000,0,13,13,0,273,273,0,91,91,0,m,,0.018
"00.019 - Tiefgründung, Rüttelstopfsäule",KBOB2016-00.019,,,,MATERIAL_LIST,,29900,29900,0,1,1,0,31,31,0,6,6,0,m,,0.019
"00.020 - Tiefgründung, Vorgefertigter Betonpfahl",KBOB2016-00.020,,,,MATERIAL_LIST,,38800,38800,0,4,4,0,66,66,0,29,29,0,m,,0.02
"00.021 - Wasserhaltung, Pumphöhe 2.5 m",KBOB2016-00.021,,,,MATERIAL_LIST,,14,14,0,0,0,0,0,0,0,0,0,0,m3,,0.021
"00.022 - Wasserhaltung, Pumphöhe 5 m",KBOB2016-00.022,,,,MATERIAL_LIST,,17,17,0,0,0,0,0,0,0,0,0,0,m3,,0.022
"00.023 - Wasserhaltung, Pumphöhe 7.5 m",KBOB2016-00.023,,,,MATERIAL_LIST,,20,20,0,0,0,0,0,0,0,0,0,0,m3,,0.023
"00.024 - Wasserhaltung, Pumphöhe 10 m",KBOB2016-00.024,,,,MATERIAL_LIST,,23,23,0,0,0,0,0,0,0,0,0,0,m3,,0.024
1.001 - Magerbeton (ohne Bewehrung),KBOB2016-1.001,,,,MATERIAL_LIST,2150,65.1,40.2,24.9,0.009,0.007,0.002,0.139,0.092,0.047,0.0591,0.0503,0.00881,kg,,1.001
1.002 - Hochbaubeton (ohne Bewehrung),KBOB2016-1.002,,,,MATERIAL_LIST,2300,94.3,67.3,27.0,0.013,0.012,0.002,0.201,0.148,0.054,0.0992,0.0889,0.0104,kg,,1.002
1.003 - Tiefbaubeton (ohne Bewehrung),KBOB2016-1.003,,,,MATERIAL_LIST,2350,100,72.9,27.0,0.014,0.013,0.002,0.217,0.164,0.053,0.107,0.096,0.0104,kg,,1.003
1.004 - Bohrpfahlbeton (ohne Bewehrung),KBOB2016-1.004,,,,MATERIAL_LIST,2325,106,79,26.9,0.016,0.014,0.002,0.228,0.175,0.053,0.117,0.107,0.0104,kg,,1.004
"01.041 - Betonfertigteil, hochfester Beton, ab Werk",KBOB2016-01.041,,,,MATERIAL_LIST,2770,477.0,454.0,23.8,0.057,0.056,0.002,0.768,0.721,0.047,0.265,0.2550,0.00917,kg,,1.041
