vyzn.context.existing;vyzn.reference.NetArea;vyzn.reference.GrossArea;vyzn.reference.ElementID;vyzn.context.ElementName;vyzn.reference.ElementType;vyzn.source.Floor;vyzn.context.group;vyzn.reference.GUID;vyzn.source.GUID;vyzn.reference.RoomArea;vyzn.context.ch.SIA380.2015.Classification
;2.22560000013454;;0CI0z_W7Ldyyc1705vR4R9;Typ;TÜR;3.OG;Typ;0CI0z_W7Ldyyc1705vR4R9;0CI0z_W7Ldyyc1705vR4R9;;
;1.8832000006133502;;0JMYyai2KHYPrjMXwN21NH;Typ;TÜR;3.OG;Typ;0JMYyai2KHYPrjMXwN21NH;0JMYyai2KHYPrjMXwN21NH;;
;1.8832000000615101;;0KOXIoAtZ_XWEmHrMYSdiK;Typ;TÜR;3.OG;Typ;0KOXIoAtZ_XWEmHrMYSdiK;0KOXIoAtZ_XWEmHrMYSdiK;;
;1.8832000000308402;;0LRK2QaOTcc$gCY7_pksaU;Typ;TÜR;3.OG;Typ;0LRK2QaOTcc$gCY7_pksaU;0LRK2QaOTcc$gCY7_pksaU;;
;1.8831999996443503;;0P0Xt3CZs3fl7KRtR4AcDa;Typ;TÜR;3.OG;Typ;0P0Xt3CZs3fl7KRtR4AcDa;0P0Xt3CZs3fl7KRtR4AcDa;;
;1.88320000072802;;0TRnabhPCw2fPHu4x$whdp;Typ;TÜR;3.OG;Typ;0TRnabhPCw2fPHu4x$whdp;0TRnabhPCw2fPHu4x$whdp;;
;1.8832000001551301;;0YRRykgcmStylc2agAh6$q;Typ;TÜR;3.OG;Typ;0YRRykgcmStylc2agAh6$q;0YRRykgcmStylc2agAh6$q;;
;1.88320000008085;;0kpHiVpHWXEGPMsHp4wJFw;Typ;TÜR;3.OG;Typ;0kpHiVpHWXEGPMsHp4wJFw;0kpHiVpHWXEGPMsHp4wJFw;;
;1.88320000020099;;0u7JIKKDtWOelbx133BbmQ;Typ;TÜR;3.OG;Typ;0u7JIKKDtWOelbx133BbmQ;0u7JIKKDtWOelbx133BbmQ;;
;1.8832000001740201;;0vCxO_aHFZwlks7YXCYfAa;Typ;TÜR;3.OG;Typ;0vCxO_aHFZwlks7YXCYfAa;0vCxO_aHFZwlks7YXCYfAa;;
