Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"00.001 Baugrubensicherung, Bohrpfahlwand, gespriesst",KBOB2022-00.001,,,,MATERIAL_LIST,,1300000.0,1140000.0,167000.0,129.0,120.0,9.02,2120.0,1870.0,248.0,861.0,801.0,60.5,m2,0,1C0034A0-2E93-4622-AB2F-B6C7BDC0A9A4,KBOB 2022 V4
"00.002 Baugrubensicherung, Bohrpfahlwand, unverankert",KBOB2022-00.002,,,,MATERIAL_LIST,,1230000.0,1070000.0,167000.0,114.0,105.0,9.02,1940.0,1690.0,248.0,821.0,761.0,60.5,m2,0,EE35298F-D4F1-4FBF-8F21-914AC601204F,KBOB 2022 V4
"00.003 Baugrubensicherung, Bohrpfahlwand, verankert",KBOB2022-00.003,,,,MATERIAL_LIST,,846000.0,735000.0,111000.0,103.0,96.9,5.96,1390.0,1230.0,164.0,535.0,495.0,40.0,m2,0,E6266550-4DA7-4AC1-9967-35D378CCA917,KBOB 2022 V4
"00.004 Baugrubensicherung, Nagelwand",KBOB2022-00.004,,,,MATERIAL_LIST,,188000.0,164000.0,24300.0,22.5,21.2,1.31,297.0,261.0,35.9,121.0,112.0,8.78,m2,0,B49F5C35-D26E-4EBD-9736-51937285D583,KBOB 2022 V4
"00.005 Baugrubensicherung, Rühlwand, auskragend",KBOB2022-00.005,,,,MATERIAL_LIST,,436000.0,397000.0,39000.0,107.0,105.0,2.13,874.0,817.0,57.6,270.0,256.0,14.2,m2,0,F0E2CA61-381A-42B0-9331-F3A3B092171A,KBOB 2022 V4
"00.006 Baugrubensicherung, Rühlwand, gespriesst",KBOB2022-00.006,,,,MATERIAL_LIST,,305000.0,282000.0,22800.0,46.6,45.4,1.23,637.0,603.0,33.8,187.0,178.0,8.26,m2,0,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,KBOB 2022 V4
"00.007 Baugrubensicherung, Rühlwand, verankert",KBOB2022-00.007,,,,MATERIAL_LIST,,319000.0,292000.0,26400.0,45.4,44.0,1.42,641.0,602.0,39.0,197.0,187.0,9.54,m2,0,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,KBOB 2022 V4
"00.008 Baugrubensicherung, Schlitzwand, 400 mm",KBOB2022-00.008,,,,MATERIAL_LIST,,777000.0,693000.0,84200.0,88.9,84.4,4.54,1160.0,1040.0,124.0,423.0,393.0,30.3,m2,0,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,KBOB 2022 V4
"00.009 Baugrubensicherung, Schlitzwand, 800 mm",KBOB2022-00.009,,,,MATERIAL_LIST,,1380000.0,1210000.0,166000.0,168.0,159.0,8.94,2080.0,1840.0,245.0,809.0,749.0,59.8,m2,0,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,KBOB 2022 V4
"00.010 Baugrubensicherung, Spundwand, auskragend",KBOB2022-00.010,,,,MATERIAL_LIST,,287000.0,285000.0,1690.0,44.2,44.1,0.0868,732.0,727.0,4.16,169.0,168.0,1.06,m2,0,650E9E9A-4709-4780-BA84-460617AE70A0,KBOB 2022 V4
