Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2","31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,1810,1770,36.5,0.295,0.295,0.000293,3.17,3.16,0.00693,0.858,0.849,0.00961,m2,energyReferenceArea,,EE35298F-D4F1-4FBF-8F21-914AC601204F,KBOB 2022 V4
"31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2","31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,5420,5310,110,0.886,0.885,0.00088,9.5,9.48,0.0208,2.57,2.55,0.0288,m2,energyReferenceArea,,E6266550-4DA7-4AC1-9967-35D378CCA917,KBOB 2022 V4
"31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2","31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,9030,8850,183,1.48,1.48,0.00147,15.8,15.8,0.0346,4.29,4.24,0.048,m2,energyReferenceArea,,B49F5C35-D26E-4EBD-9736-51937285D583,KBOB 2022 V4
31.027 Elektrospeicherofen 5kW,31.027 Elektrospeicherofen 5kW,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,7070,6720,348,0.967,0.949,0.018,10.6,10.5,0.19,2.87,2.58,0.296,kg,energyReferenceArea,,F0E2CA61-381A-42B0-9331-F3A3B092171A,KBOB 2022 V4
31.021 Wärmeverteilung Wohngebäude,31.021 Wärmeverteilung Wohngebäude,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,7030,5630,1400,1.54,1.17,0.366,13.2,11.1,2.14,3.46,2.77,0.695,m2,energyReferenceArea,,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,KBOB 2022 V4
31.022 Wärmeverteilung Bürogebäude,31.022 Wärmeverteilung Bürogebäude,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,18100,16100,2020,2.77,2.34,0.43,29.9,27.3,2.57,9.14,8.06,1.08,m2,energyReferenceArea,,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,KBOB 2022 V4
31.023 Wärmeabgabe über Heizkörper,31.023 Wärmeabgabe über Heizkörper,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,12800,12100,700,1.66,1.66,0.00266,21.1,21,0.0271,6.5,6.48,0.022,m2,energyReferenceArea,,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,KBOB 2022 V4
31.024 Wärmeabgabe über Fussbodenheizung,31.024 Wärmeabgabe über Fussbodenheizung,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,7380,5300,2090,1.44,1.44,0.0021,21.8,21.8,0.086,5.05,3.02,2.04,m2,energyReferenceArea,,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,KBOB 2022 V4
31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke),31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,24300,24200,141,4.39,4.39,0.00227,25,24.9,0.0263,5.78,5.65,0.134,m2,energyReferenceArea,,650E9E9A-4709-4780-BA84-460617AE70A0,KBOB 2022 V4
"31.015 Wärmeverteilung und Abgabe, Luftheizung","31.015 Wärmeverteilung und Abgabe, Luftheizung",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,3870,3260,613,0.421,0.421,0.000103,7.11,7.11,0.00358,1.83,1.76,0.0668,m2,energyReferenceArea,,53A125FB-F71E-4A1A-9191-DE111E0DF8C0,KBOB 2022 V4
"31.016 Erdsonden, für Sole-Wasser-Wärmepumpe","31.016 Erdsonden, für Sole-Wasser-Wärmepumpe",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,46100,40900,5220,2.28,2,0.278,102,101,1.29,23.2,20.7,2.55,m,probeLength,,9AA11301-7957-4139-BC09-9F57072238EC,KBOB 2022 V4
31.026 Förder- und Schluckbrunnen für Grundwasser Wärmepumpe,31.026 Förder- und Schluckbrunnen für Grundwasser Wärmepumpe,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,947000,840000,107000,47.7,43.6,4.08,1780,1740,44.8,661,566,95.7,Stk.,device,,B4015EF4-695C-47BF-9CD8-A8AF5CE3C0CB,KBOB 2022 V4
31.017 Sole-Wasser Wärmepumpe 7 kW,31.017 Sole-Wasser Wärmepumpe 7 kW,,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,,4690000,4200000,486000,488,485,3.04,4460,4430,34.9,2400,1930,473,Stk.,device,,D6B4CD48-CFD0-45DD-8F39-F2877B8DE652,KBOB 2022 V4
