Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.ch.minergie.eco.MepClassification,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2 (KBOB.2022v5)","31.001 Wärmeerzeuger, spez. Leistungsbedarf 10 W/m2 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,1810.000000,1770.000000,36.500000,0.301000,0.301000,0.000302,3.170000,3.160000,0.006930,0.858000,0.849000,0.009610,m2,energyReferenceArea,0,645b97bd-1df3-4009-b1e2-cf2361027d28,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
"31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2 (KBOB.2022v5)","31.002 Wärmeerzeuger, spez. Leistungsbedarf 30 W/m2 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,5420.000000,5310.000000,110.000000,0.903000,0.902000,0.000907,9.500000,9.480000,0.020800,2.580000,2.550000,0.028800,m2,energyReferenceArea,0,99bbe55d-26c7-43c1-9cb7-bb22acaba046,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
"31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2 (KBOB.2022v5)","31.003 Wärmeerzeuger, spez. Leistungsbedarf 50 W/m2 (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,9030.000000,8850.000000,183.000000,1.500000,1.500000,0.001510,15.800000,15.800000,0.034600,4.290000,4.240000,0.048000,m2,energyReferenceArea,0,c9919efb-4f2c-4bd6-9cd0-60b9a23fa0d3,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.027 Elektrospeicherofen 5kW (KBOB.2022v5),31.027 Elektrospeicherofen 5kW (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatGeneration,,7070.000000,6720.000000,348.000000,0.991000,0.972000,0.018700,10.600000,10.500000,0.190000,2.880000,2.580000,0.296000,kg,mass,0,f53af324-0889-4d90-b66c-f0a0ae9c3efc,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,20
31.021 Wärmeverteilung Wohngebäude (KBOB.2022v5),31.021 Wärmeverteilung Wohngebäude (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,7040.000000,5630.000000,1410.000000,1.560000,1.190000,0.369000,13.200000,11.100000,2.140000,3.460000,2.770000,0.695000,m2,energyReferenceArea,0,a40edcbc-cd81-4bf2-963b-cb545d6e3b02,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.022 Wärmeverteilung Bürogebäude (KBOB.2022v5),31.022 Wärmeverteilung Bürogebäude (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,18100.000000,16100.000000,2020.000000,2.820000,2.380000,0.433000,29.900000,27.300000,2.570000,9.150000,8.060000,1.080000,m2,energyReferenceArea,0,6249860e-f4cf-40fb-8244-be22d92e78e5,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.023 Wärmeabgabe über Heizkörper (KBOB.2022v5),31.023 Wärmeabgabe über Heizkörper (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,12800.000000,12100.000000,700.000000,1.710000,1.710000,0.002710,21.100000,21.000000,0.027100,6.510000,6.480000,0.022000,m2,energyReferenceArea,0,068e9380-2088-4f04-8385-ce410ead6121,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.024 Wärmeabgabe über Fussbodenheizung (KBOB.2022v5),31.024 Wärmeabgabe über Fussbodenheizung (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,7380.000000,5300.000000,2090.000000,1.450000,1.450000,0.002150,21.800000,21.800000,0.086000,5.050000,3.020000,2.040000,m2,energyReferenceArea,0,a9814d97-ccf9-4349-934d-b70b67622da2,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke) (KBOB.2022v5),31.025 Wärmeabgabe über Heizkühldecke (ohne Gips- oder Metalldecke) (KBOB.2022v5),,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatEmission,,24300.000000,24200.000000,141.000000,4.430000,4.420000,0.002310,25.000000,24.900000,0.026300,5.780000,5.650000,0.134000,m2,energyReferenceArea,0,de698b1d-fa42-456f-8f8e-a33cdf6ab46b,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
"31.015 Wärmeverteilung und Abgabe, Luftheizung (KBOB.2022v5)","31.015 Wärmeverteilung und Abgabe, Luftheizung (KBOB.2022v5)",,,,BUILDING_TECHNOLOGY,BUILDING_TECHNOLOGY_HEATING,heatDistribution,,3870.000000,3260.000000,613.000000,0.433000,0.433000,0.000104,7.110000,7.110000,0.003590,1.830000,1.760000,0.066800,m2,energyReferenceArea,0,1a8f4741-4ce9-4bbf-9f2e-c9c6796fbd61,KBOB 2022 V5,Alle > GEBÄUDETECHNIK > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,30
