Name,ProductKey,Type,vyzn.catalogue.SdValue,vyzn.catalog.ThermalConductivity,vyzn.catalogue.VapourDiffusionResistance,vyzn.catalogue.Density,vyzn.catalogue.ThermalCapacity
Swisspor AG : swissporLAMBDA Roof Gefälleplatten,Swisspor AG : swissporLAMBDA Roof Gefälleplatten,MATERIAL,6,0.029,50,25,0.39
Swisspor AG : swissporLAMBDA Roof,Swisspor AG : swissporLAMBDA Roof,MATERIAL,7,0.029,50,25,0.39
Swisspor AG : swissporEPS 30,Swisspor AG : swissporEPS 30,MATERIAL,1.2,0.033,60,30,0.39
Swisspor AG : swissporBIKUVAP LL EVA flam,Swisspor AG : swissporBIKUVAP LL EVA flam,MATERIAL,3500,0.17,1000000,1228,0.5
Swisspor AG : swissporBIKUTOP ECO EP5 S flam,Swisspor AG : swissporBIKUTOP ECO EP5 S flam,MATERIAL,250,0.17,50000,1180,0.5
Swisspor AG : swissporBIKUPLAN LL VARIO,Swisspor AG : swissporBIKUPLAN LL VARIO,MATERIAL,180.25,0.17,51500,1171,0.5
Swisspor AG : PE-Abdeckfolie,Swisspor AG : PE-Abdeckfolie,MATERIAL,12,0.22,60000,920,
SIGA AG : SIGA Majvest 200,SIGA AG : SIGA Majvest 200,MATERIAL,0.05,0.17,100,130,0.639
SIGA AG : SIGA Majpell 5,SIGA AG : SIGA Majpell 5,MATERIAL,5.13,0.17,12500,130,0.639
"SIA 381/1 : Klebeparkett !! nur LCA !!","SIA 381/1 : Klebeparkett !! nur LCA !!",MATERIAL,1.05,0,70,900,0.611
SIA 381/1 : Innenputz,SIA 381/1 : Innenputz,MATERIAL,0.04,0.7,8,1400,0.25
"SIA 381/1 : Fichte-Tanne (Feuchte=15%) !! nur LCA !!","SIA 381/1 : Fichte-Tanne (Feuchte=15%) !! nur LCA !!",MATERIAL,0.9,0,30,480,0.611
SIA 381/1 : Bitumenanstrich (1 mm),SIA 381/1 : Bitumenanstrich (1 mm),MATERIAL,60,0.2,60000,1200,0.444
SIA 381/1 : Beton armiert mit 2% Stahl (SIA381/1),SIA 381/1 : Beton armiert mit 2% Stahl (SIA381/1),MATERIAL,26.25,2.5,105,2400,0.278
Project : Lehmplatte,Project : Lehmplatte,MATERIAL,0.22,0.93,12,1700,0.25
"Project : Heradesign!! nur LCA !!","Project : Heradesign!! nur LCA !!",MATERIAL,0.09,0,4,520,0.444
"PIRMIN JUNG Schweiz AG : OSB-Stösse hinterlegt und dicht abgeklebt!! nur LCA !!","PIRMIN JUNG Schweiz AG : OSB-Stösse hinterlegt und dicht abgeklebt!! nur LCA !!",MATERIAL,0,0,0,,
"PIRMIN JUNG Schweiz AG : Eternit Faserzementplatte !! nur LCA !!","PIRMIN JUNG Schweiz AG : Eternit Faserzementplatte !! nur LCA !!",MATERIAL,0.5,0,50,1850,0.25
Minergie ECO : Zementunterlagsboden,Minergie ECO : Zementunterlagsboden,MATERIAL,1.36,1.2,17,1850,0.236
"Minergie ECO : OSB Platte","Minergie ECO : OSB Platte",MATERIAL, PF-gebunden, Feuchtbereich",1.05,0.13,70,600,0.6
Isover : PS 81,Isover : PS 81,MATERIAL,0.02,0.032,1,80,0.286
Isofloc AG : isofloc eco eingeblasen,Isofloc AG : isofloc eco eingeblasen,MATERIAL,0.54,0.038,2,55,0.598
Foamglas : FOAMGLAS® BOARD T4+,Foamglas : FOAMGLAS® BOARD T4+,MATERIAL,1800000,0.041,10000000,115,0.28
Foamglas :  FOAMGLAS® T4+,Foamglas :  FOAMGLAS® T4+,MATERIAL,400000,0.041,10000000,115,0.28
"Flumroc : Flumroc-Dämmplatte 1 !! nur LCA !!","Flumroc : Flumroc-Dämmplatte 1 !! nur LCA !!",MATERIAL,0.04,0,1,38,0.23
Flumroc : Flumroc-Dämmplatte 1,Flumroc : Flumroc-Dämmplatte 1,MATERIAL,0.08,0.035,1,38,0.23
Fermacell : FERMACELL Gipsfaserplatte,Fermacell : FERMACELL Gipsfaserplatte,MATERIAL,0.2,0.32,13,1150,0.306
"CEN : Sand und Kies für Flachdach !! nur LCA !!","CEN : Sand und Kies für Flachdach !! nur LCA !!",MATERIAL,0.12,0,2,1900,0.222
CEN : Luftschicht,CEN : Luftschicht,MATERIAL,0.01,0.151,1,1.23,0.278
"CEN : Beton 1800 kg/m³ (CEN) !! nur LCA !!","CEN : Beton 1800 kg/m³ (CEN) !! nur LCA !!",MATERIAL,5,0,100,1800,0.278
